"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007346","regulation of mitotic cell cycle","196/3938","464/13389",0.422413793103448,1.43618544333724,6.17265079694682,1.49261489103881e-09,8.43775197904241e-06,6.71362466253563e-06,"DDR2/MKI67/TGFA/YTHDC2/RRM2/CDK6/BRCA2/BIRC5/CDCA8/KNL1/SPC24/DACT1/GTSE1/PRKDC/PLCB1/AURKB/DLGAP5/CCNB1/CDC20/UBE2C/E2F7/NBN/TTK/ANLN/FANCD2/NDC80/ESPL1/PKD2/EGFR/DTL/PLK1/PLK2/CDCA5/BUB1/BRCA1/CDC25C/BUB1B/AURKA/CDCA2/ZWINT/BARD1/RNASEH2B/DBF4B/CENPE/CDK1/DUSP3/SKA3/TICRR/INCENP/ANXA1/KANK2/OBSL1/CENPJ/TOM1L1/PKD1/KIF20B/CDC25A/NEK2/TTLL12/ANAPC1/ACTB/PRMT2/KIF14/EDN1/CENPF/JADE1/NEK6/ERCC2/STK33/CDC6/HASPIN/CCL2/SPC25/PBX1/CCNH/NUF2/CHEK1/SLFN11/RDX/CDC25B/PHIP/PKMYT1/SHB/CCND1/ANGEL2/DPF2/DLG1/TFAP4/MASTL/CDK2/BORA/CKS1B/APC/TFDP1/SPDL1/EZH2/CKS2/ZFP36L2/NKX3-1/BABAM2/RFWD3/TTC28/PML/RAD50/RB1/HNRNPU/RIOK2/MDC1/ANAPC16/CUL7/KCNH5/TOM1L2/CUL4B/CTNNB1/DDX3X/MEIS2/PHF10/FZD3/ETAA1/TP73/XPC/BTC/CDC27/FBXO5/ATM/PABIR1/RCC2/NUSAP1/KNTC1/CDC73/TRIP13/KMT2E/FBXW5/RPS27L/RRM2B/MIR221/MAD2L1/ARID1A/XRCC3/CDKN1A/CDK5RAP2/CDKN2D/PAFAH1B1/CTDSP2/STIL/SMARCD3/MDM2/GBF1/TMEM14B/KLHL22/BCL7A/TIPIN/SMARCA2/ASNS/DYNLT3/MBTPS1/FOXC1/YWHAE/LSM10/PRMT5/MRNIP/FZR1/RRM1/EME1/MTA3/MIR222/GMNN/AKT1/CAV2/CDC7/PPP2CA/CCNG1/RAD21/NABP2/CUL9/PIM2/TP53/CCNE1/PSME1/UIMC1/MAD1L1/FGFR1/TAOK1/IL1A/TRIAP1/APPL1/ABL1/NUP62/DDB1/CCNE2/SMARCA4/CTDSPL/MYO16/DAPK3/PSME2/CDC42",196
"GO:0006334","nucleosome assembly","54/3938","93/13389",0.580645161290323,1.97416405904422,6.0851305476342,7.67436339140857e-09,1.39288748030995e-05,1.10827193820969e-05,"H3C3/H1-0/H3C2/H3C7/H1-3/H1-5/H4C5/H3C8/H4C3/H1-2/H4C4/H2BC7/H2BC10/H3C10/H4C2/H1-4/H2BC9/H2BC13/H2BC15/H3C11/H2BC3/H2BC8/H3C1/H4C1/H4C8/H4C16/H2BC17/SHPRH/NAP1L1/H4C9/HMGB2/H3C13/H1-10/NAP1L5/H2AX/SOX9/BAZ1A/H2BC21/TSPYL1/CHAF1A/ASF1B/H3C6/SMARCA5/HP1BP3/MACROH2A2/ANP32B/TSPYL4/NAP1L2/SUPT16H/H4C14/ATAD2/H2BC6/H3-4/SET",54
"GO:0044772","mitotic cell cycle phase transition","175/3938","414/13389",0.422705314009662,1.43717659961284,5.83257351234075,1.07393855528376e-08,1.39288748030995e-05,1.10827193820969e-05,"DDR2/IQGAP3/RRM2/NFIB/LATS2/CDK6/ID4/BIRC5/CDCA8/KNL1/BCAT1/SPC24/FOXM1/DACT1/GTSE1/PRKDC/PLCB1/AURKB/DLGAP5/CCNB1/CDC20/UBE2C/E2F7/NBN/TTK/ANLN/NDC80/ESPL1/PKD2/EGFR/DTL/PLK1/CCNA2/PLK2/CDCA5/BUB1/BRCA1/CDC25C/BUB1B/AURKA/ZWINT/BARD1/RNASEH2B/DBF4B/CENPE/CDK1/SKA3/TICRR/INCENP/ANXA1/KANK2/TACC3/CENPJ/PKD1/CDC25A/ANAPC1/ACTB/PRMT2/KIF14/CENPF/JADE1/NEK6/CCNB2/ERCC2/CDC6/HASPIN/CCL2/SPC25/PBX1/CCNH/NUF2/MELK/CHEK1/SLFN11/RDX/CDC25B/PKMYT1/CCND1/DPF2/DLG1/TFAP4/CDK14/MASTL/SMC5/CDK2/CCNI/SKP2/CKS1B/APC/LATS1/TFDP1/SPDL1/EZH2/CKS2/ZFP36L2/BABAM2/RFWD3/MYC/PPP3CA/TPD52L1/PML/RAD50/RB1/RIOK2/KCNH5/CUL4B/DBF4/DDX3X/PHF10/KHDRBS1/ETAA1/XPC/CDC27/FBXO5/ATM/CDKN3/CCNG2/PABIR1/RCC2/KNTC1/CDC73/CCNF/TRIP13/KMT2E/UBE2S/RPS27L/RRM2B/MIR221/MAD2L1/ARPP19/ARID1A/XRCC3/CDKN1A/CDK5RAP2/CDKN2D/CTDSP2/EPS8/STIL/SMARCD3/CCNJL/MDM2/TMEM14B/KLHL22/BCL7A/SMARCA2/MBTPS1/LSM10/MRNIP/FZR1/RRM1/MTA3/MIR222/AKT1/CDC7/PPP2CA/CCNG1/RAD21/NABP2/PIM2/TP53/CCNE1/PSME1/UIMC1/MAD1L1/TAOK1/TRIAP1/APPL1/DDB1/PIAS1/CCNE2/USP37/SMARCA4/CTDSPL/MYO16/PSME2",175
"GO:0001501","skeletal system development","180/3938","429/13389",0.41958041958042,1.42655211725806,5.79635629896013,1.28076623160878e-08,1.39288748030995e-05,1.10827193820969e-05,"COL11A1/DDR2/FAM20C/CCN2/VCAN/CDH11/DHRS3/CCN1/ITGB8/RARB/ARID5B/NFIB/COL5A2/EFEMP1/FBN1/COL1A2/BMPR1B/VEGFA/FOSL2/LTBP3/PRRX1/LOXL2/SLC2A10/EPHA2/LNPK/TGFBR2/BNC2/SULF1/PDGFC/HOXD10/CITED2/PLEKHA1/MKS1/ASXL1/KIAA1217/HAS2/MMP14/TRIM45/STC1/SFRP1/TYMS/PKD1/FGF2/EDN1/NAB1/CSRNP1/IFT172/MEF2C/COL27A1/SOX6/FOXP1/LAMA5/FRZB/CHSY1/PBX1/PTHLH/CD44/ERRFI1/TWIST1/NOTCH2/LOX/INSIG2/PITX2/RARA/HOXD3/HOXD4/TGFBI/ENG/SMAD3/RUNX2/DLG1/ACVR2A/BMP1/FGFRL1/HOXB3/HIF1A/SOX9/ATG9A/TMEM107/SERPINH1/TAPT1/NSD2/PAPSS1/PTGER4/SFRP4/TEAD4/ARSL/CHST11/RARG/HOXC10/PRKRA/EVC/RAI1/RB1/HOXD11/THRA/CLDN18/P2RX7/HOXC6/ZFAND5/ADAMTS12/EXT1/TRPS1/HOXA3/HOXB9/CTNNB1/AMER1/TGFB2/TWSG1/MTHFD1/MEX3C/SOX5/GATA3/SKI/CHI3L1/LRRK1/TGFBR1/HOXC8/MED12/MMP2/IFT140/TGFB3/BBX/DLX2/RPS6KA3/PAFAH1B1/HOXB4/RPL13/MIGA2/GSC/PPARGC1B/HOXC9/WNT5A/SNAI2/EBP/FOXC1/COL10A1/PKDCC/INSIG1/HOXA2/HOXD9/SMAD5/GJA1/NDST1/TULP3/PRELP/INPPL1/NPR3/INHA/CCN4/MAP2K6/HOXC5/BPNT2/HOXA11/BMPR2/SETD2/MEGF8/SLC39A14/BMPR1A/TP53/TRIP11/ANKRD11/ZNF219/FGFR1/DYNC2I1/EIF4A3/SPNS2/GLI3/COL9A2/COL13A1/TBX3/RUNX1/SERP1/SLC39A1/PTPRC/GNA11/CHD7/DLX6/BGN/GHRL",180
"GO:0045787","positive regulation of cell cycle","135/3938","305/13389",0.442622950819672,1.50489555320584,5.75755405221886,1.9297022524282e-08,1.39288748030995e-05,1.10827193820969e-05,"DDR2/TGFA/YTHDC2/RRM2/BRCA2/BIRC5/CDCA8/KNL1/NCAPG/PLCB1/AURKB/DLGAP5/CCNB1/CDC20/UBE2C/E2F7/KIF23/NDC80/ESPL1/NCAPG2/EGFR/SPAG5/DTL/CEP295/ECT2/CDCA5/BUB1/CDC25C/E2F8/SLF2/AURKA/CITED2/DBF4B/CDK1/DUSP3/NCAPD2/SKA3/INCENP/ANXA1/FAM83D/CENPJ/DYNC1H1/KIF20B/CDC25A/DYRK3/PLK4/RAD51AP1/KIF14/EDN1/GPSM2/DRD2/CCPG1/CDC6/PLSCR1/PBX1/CHEK1/RDX/CDC25B/PHIP/SHB/CCND1/RARA/FEN1/RACGAP1/SMC5/PKP4/TFDP1/EZH2/CEP120/NKX3-1/RHNO1/RB1/HNRNPU/SPDYE2/SPDYE6/CUL4B/DBF4/DDX3X/MEIS2/TGFB2/UBXN2B/BTC/FBXO5/RCC2/NUSAP1/CDC73/KMT2E/RRM2B/MIR221/MAD2L1/IGF1R/XRCC3/NUMA1/PAFAH1B1/STIL/LRP6/SMARCD3/MDM2/NR2E1/ASNS/CENPV/WNT5A/KAT2B/DYNLT3/LSM10/NCAPH2/NCAPD3/RRM1/SPDYE21/MTA3/MIR222/AKT1/CDC7/PRKCE/RAD21/CCNE1/MAD1L1/FGFR1/CALR/SPDYE16/SPDYE2B/IL1A/RAD23A/SCAND3/MIR590/ABL1/NUP62/TBX3/CCNE2/SPDYE1/ZNF16/SPDYE3/DDX11/TAS2R13/CDC42",135
"GO:1901990","regulation of mitotic cell cycle phase transition","140/3938","319/13389",0.438871473354232,1.49214072035038,5.74253531279246,2.03414434205926e-08,1.39288748030995e-05,1.10827193820969e-05,"DDR2/RRM2/CDK6/BIRC5/CDCA8/KNL1/SPC24/DACT1/GTSE1/PRKDC/PLCB1/AURKB/DLGAP5/CCNB1/CDC20/UBE2C/E2F7/NBN/TTK/ANLN/NDC80/ESPL1/PKD2/EGFR/DTL/PLK1/PLK2/CDCA5/BUB1/BRCA1/CDC25C/BUB1B/AURKA/ZWINT/BARD1/RNASEH2B/DBF4B/CENPE/CDK1/SKA3/TICRR/INCENP/ANXA1/KANK2/CENPJ/PKD1/CDC25A/ACTB/PRMT2/KIF14/CENPF/JADE1/NEK6/ERCC2/CDC6/HASPIN/CCL2/SPC25/PBX1/CCNH/NUF2/CHEK1/SLFN11/RDX/CDC25B/PKMYT1/CCND1/DPF2/DLG1/TFAP4/CDK2/APC/TFDP1/SPDL1/EZH2/ZFP36L2/BABAM2/RFWD3/PML/RAD50/RB1/RIOK2/KCNH5/CUL4B/DDX3X/PHF10/ETAA1/XPC/FBXO5/ATM/PABIR1/RCC2/KNTC1/CDC73/TRIP13/KMT2E/RPS27L/RRM2B/MIR221/MAD2L1/ARID1A/XRCC3/CDKN1A/CDK5RAP2/CDKN2D/CTDSP2/STIL/SMARCD3/MDM2/TMEM14B/KLHL22/BCL7A/SMARCA2/MBTPS1/LSM10/MRNIP/FZR1/RRM1/MTA3/MIR222/AKT1/CDC7/PPP2CA/CCNG1/RAD21/NABP2/TP53/CCNE1/PSME1/UIMC1/MAD1L1/TAOK1/TRIAP1/APPL1/DDB1/CCNE2/SMARCA4/CTDSPL/MYO16/PSME2",140
"GO:0045786","negative regulation of cell cycle","155/3938","361/13389",0.429362880886427,1.45981198887465,5.71678478226196,2.16859790905702e-08,1.39288748030995e-05,1.10827193820969e-05,"YTHDC2/LATS2/CDK6/BRCA2/ETS1/BIRC5/CDCA8/KNL1/SPC24/DACT1/GTSE1/PTPRK/PRKDC/AURKB/CCNB1/CDC20/E2F7/NBN/TTK/FANCD2/NDC80/ESPL1/PKD2/EGFR/DTL/PLK1/PLK2/BUB1/BRCA1/BUB1B/E2F8/HOXD10/ZWINT/BARD1/RNASEH2B/CDK1/SKA3/UFL1/TICRR/INCENP/KANK2/TOM1L1/TSC22D2/NEK2/PRMT2/CENPF/JADE1/STK33/CDC6/HASPIN/CCL2/SPC25/BRIP1/EIF2AK4/RBM14/NUF2/WDR76/CHEK1/SLFN11/CDT1/PKMYT1/CCND1/ANGEL2/TNFAIP3/DLG1/CENATAC/TFAP4/CDK2/FBXO4/APBB2/MDM1/APC/LATS1/H2AX/SPDL1/TMSB4X/EZH2/SIPA1/CDC45/ZFP36L2/RHNO1/BABAM2/RFWD3/PML/RAD50/RB1/MDC1/LIF/TOM1L2/CTNNB1/FZD3/ETAA1/SMARCA5/XPC/FBXO5/ATM/PABIR1/BAZ1B/GATA3/KNTC1/CDC73/CRY1/CCNF/TRIP13/INTS7/RPS27L/TERF1/MAD2L1/TRIM37/NUDT6/XRCC3/CDKN1A/RAD51/CDK5RAP2/CDKN2D/APBB1/CTDSP2/TP53BP1/MDM2/KLHL22/TIPIN/HOXC9/KAT2B/MBTPS1/MAPK12/FOXC1/DNA2/MRNIP/FZR1/RHOB/INHA/EME1/DTX3L/CREB3/GMNN/CCNG1/RAD21/DOT1L/NABP2/TP53/RPS6KA2/TIMELESS/UIMC1/MAD1L1/IPO5/TAOK1/TRIAP1/ABL1/LYN/TIPRL/CTDSPL/MYO16/NR4A1/CDK5RAP1/FEM1B",155
"GO:0090068","positive regulation of cell cycle process","106/3938","227/13389",0.466960352422908,1.58764148262832,5.76396396878,2.2450459207346e-08,1.39288748030995e-05,1.10827193820969e-05,"DDR2/TGFA/RRM2/BIRC5/CDCA8/KNL1/NCAPG/PLCB1/AURKB/DLGAP5/CCNB1/CDC20/UBE2C/E2F7/KIF23/NDC80/ESPL1/NCAPG2/EGFR/SPAG5/DTL/CEP295/ECT2/CDCA5/BUB1/CDC25C/E2F8/SLF2/AURKA/DBF4B/CDK1/NCAPD2/SKA3/INCENP/ANXA1/FAM83D/CENPJ/DYNC1H1/KIF20B/CDC25A/DYRK3/PLK4/RAD51AP1/KIF14/EDN1/GPSM2/DRD2/CDC6/PLSCR1/PBX1/RDX/CDC25B/PHIP/CCND1/FEN1/RACGAP1/SMC5/PKP4/TFDP1/EZH2/CEP120/RHNO1/RB1/HNRNPU/CUL4B/DBF4/DDX3X/UBXN2B/BTC/FBXO5/RCC2/NUSAP1/CDC73/KMT2E/RRM2B/MIR221/MAD2L1/IGF1R/XRCC3/NUMA1/STIL/SMARCD3/MDM2/CENPV/WNT5A/KAT2B/LSM10/NCAPH2/NCAPD3/RRM1/MTA3/MIR222/AKT1/CDC7/PRKCE/RAD21/CCNE1/MAD1L1/FGFR1/IL1A/NUP62/CCNE2/ZNF16/DDX11/TAS2R13/CDC42",106
"GO:0007088","regulation of mitotic nuclear division","61/3938","112/13389",0.544642857142857,1.85175805339911,5.8429491721389,2.40710481488283e-08,1.39288748030995e-05,1.10827193820969e-05,"MKI67/TGFA/BIRC5/CDCA8/KNL1/SPC24/AURKB/DLGAP5/CCNB1/CDC20/UBE2C/TTK/NDC80/ESPL1/PLK1/BUB1/CDC25C/BUB1B/AURKA/CDCA2/ZWINT/SKA3/INCENP/OBSL1/TOM1L1/KIF20B/NEK2/EDN1/CENPF/HASPIN/SPC25/NUF2/CHEK1/PHIP/PKMYT1/BORA/APC/SPDL1/RB1/CUL7/TOM1L2/BTC/FBXO5/ATM/NUSAP1/KNTC1/TRIP13/FBXW5/MAD2L1/XRCC3/CDK5RAP2/KLHL22/PRMT5/CAV2/RAD21/CUL9/MAD1L1/IL1A/NUP62/DAPK3/CDC42",61
"GO:1901987","regulation of cell cycle phase transition","175/3938","418/13389",0.41866028708134,1.42342371349214,5.67718980302045,2.4639792681938e-08,1.39288748030995e-05,1.10827193820969e-05,"DDR2/RRM2/CDK6/BRCA2/BIRC5/CDCA8/KNL1/SPC24/DACT1/GTSE1/PRKDC/PLCB1/AURKB/DLGAP5/CCNB1/CDC20/UBE2C/E2F7/NBN/TTK/ANLN/FANCD2/NDC80/ESPL1/PKD2/EGFR/DTL/PLK1/PLK2/CDCA5/BUB1/BRCA1/CDC25C/BUB1B/AURKA/ZWINT/BARD1/RNASEH2B/DBF4B/CENPE/CDK1/SKA3/UFL1/TICRR/INCENP/ANXA1/FAM83D/KANK2/CENPJ/PKD1/CDC25A/DYRK3/ACTB/PRMT2/KIF14/CENPF/JADE1/NEK6/ERCC2/STK33/CDC6/HASPIN/CCL2/SPC25/BRIP1/PBX1/CCNH/EIF2AK4/NUF2/WDR76/CHEK1/SLFN11/CDT1/RDX/CDC25B/PKMYT1/CCND1/DPF2/DLG1/TFAP4/CDK14/CDK2/FBXO4/APBB2/APC/TFDP1/H2AX/SPDL1/TMSB4X/EZH2/CDC45/ZFP36L2/RHNO1/BABAM2/RFWD3/PML/RAD50/RB1/RIOK2/MDC1/KCNH5/CUL4B/DBF4/RASSF1/DDX3X/PHF10/ETAA1/XPC/FBXO5/ATM/PABIR1/RCC2/KNTC1/CDC73/CRY1/TRIP13/KMT2E/INTS7/RPS27L/RRM2B/MIR221/MAD2L1/ARID1A/XRCC3/CDKN1A/RAD51/CDK5RAP2/CDKN2D/APBB1/CTDSP2/STIL/SMARCD3/TP53BP1/MDM2/TMEM14B/KLHL22/BCL7A/TIPIN/SMARCA2/MBTPS1/LSM10/DNA2/MRNIP/FZR1/RRM1/EME1/MTA3/DTX3L/MIR222/AKT1/CDC7/PPP2CA/CCNG1/RAD21/DOT1L/NABP2/TP53/CCNE1/PSME1/TIMELESS/UIMC1/MAD1L1/TAOK1/TRIAP1/APPL1/DDB1/CCNE2/LYN/TIPRL/ZNF16/SMARCA4/CTDSPL/MYO16/PSME2/FEM1B",175
