"comparison","group","n_overlaps","total_peaks1","total_peaks2","overlap_rate1","overlap_rate2","avg_overlap_rate","correlation"
"TES-1_vs_TES-2","TES",27555,94292,193855,0.292230517965469,0.142142322870186,0.217186420417828,0.203809530290341
"TES-1_vs_TES-3","TES",52624,94292,81271,0.558096126924872,0.647512642886146,0.602804384905509,0.601144157527665
"TES-2_vs_TES-3","TES",32555,193855,81271,0.167934796626344,0.400573390262209,0.284254093444277,0.259365014656197
"TEAD1-1_vs_TEAD1-2","TEAD1",24893,180270,130201,0.138087313474233,0.191189007764917,0.164638160619575,0.162483157428891
"TEAD1-1_vs_TEAD1-3","TEAD1",25758,180270,235613,0.142885671492761,0.109323339544083,0.126104505518422,0.12498295396008
"TEAD1-2_vs_TEAD1-3","TEAD1",19990,130201,235613,0.153531846913618,0.0848425171785937,0.119187182046106,0.114131627339795
