"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","GO:0007409","axonogenesis","424/14761","459/18986",0.923747276688453,1.18814889202676,7.62702713342679,1.65933021463127e-17,1.06197133736401e-13,7.47397261937601e-14,"1855/1889/2046/2048/11313/3925/284656/23499/1907/23334/9048/4898/1600/85440/23032/91624/23566/8543/343472/9890/22854/22911/57463/4853/10500/1141/1942/64218/4914/57549/57216/4009/55811/63923/7143/89884/56956/59352/23114/6900/5362/55740/89780/27185/6905/5588/2625/3799/3688/8829/56288/5979/6387/644168/5592/288/1959/84665/220202/26128/219699/7414/5728/9211/6585/118813/5076/2253/57698/11023/2263/9024/283297/1982/627/5080/57689/4038/5795/2011/2017/4135/25987/5058/8301/53942/4684/1813/57453/7070/5818/64221/54538/9638/334/654429/113246/5800/55605/1272/144165/4753/57609/3798/115557/23011/23390/10154/59277/79600/5781/51761/6049/9201/23111/23077/5457/114798/84189/1948/55701/2290/7080/26257/51062/51199/5015/26037/5663/8650/9369/23768/123016/9252/64919/51466/23191/4692/4130/80208/80031/27023/51324/5604/4756/57611/8482/25942/64843/10509/56963/3480/79006/8399/6477/4504/1009/25894/999/9798/5306/5048/1949/81565/9423/51393/3996/9706/8851/3975/2064/1267/8506/8153/4137/7473/9241/4884/10458/5797/10939/9331/494470/4089/1630/596/6794/1943/5605/10501/5802/284382/1785/4854/4218/55201/6324/4099/333/57731/9253/1954/348/7408/4858/2909/84446/6868/151449/10890/56896/6683/9637/6654/9378/57142/53335/10678/10505/1496/54910/150465/2736/728378/445582/440915/3800/4929/10716/1123/3676/659/65059/8828/8609/1385/4133/2335/8941/2043/2637/10494/6616/23767/85449/9334/84612/23394/655/1908/1002/54915/140578/351/7074/1826/104/6285/65078/4744/7477/23654/10752/27255/152330/7476/7155/23122/2803/11280/22906/885/5364/1951/3913/1605/6405/7869/57408/7474/6092/6091/2042/285220/214/91653/2596/2932/54437/8997/5361/23129/6259/2047/6474/6498/2049/9175/5062/9353/886/323/7345/8929/2044/22902/56978/4825/6696/474/658/8633/5458/1909/23022/153478/9037/7204/133418/3670/345651/4131/2297/64283/1946/91137/57556/23105/51265/9499/56134/5459/1436/26999/6586/90249/347733/1906/9856/8831/5754/7422/23607/2045/5454/7101/2534/3908/10090/26230/60/5879/2115/729920/2128/2737/107/23242/26053/3984/10512/9723/10371/223117/1749/57154/5649/4897/3475/5803/389549/6608/91584/673/2051/3792/2636/6469/4747/7976/23303/137970/4147/2131/5747/575/4781/203228/4882/4915/10507/5727/9355/6812/256158/25/84628/10439/8022/4851/8636/3730/6792/170302/7504/8239/4693/10013/4983/1947/54413/2717/5063/7224/10479/2258/4168/139065/84631/5365/3897/393/2664/55558",424
"GO:0042391","GO:0042391","regulation of membrane potential","428/14761","466/18986",0.918454935622318,1.18134173888797,7.40832586743853,1.93076388445264e-16,6.17844443024845e-13,4.34828350609098e-13,"1855/2563/5590/8514/388591/11315/84275/2475/79594/65018/1269/6548/2537/4985/2899/10269/9783/149461/6512/2730/54112/3749/3744/3737/3738/3752/845/476/2702/10962/1141/2629/3766/3765/477/480/9722/5999/55811/481/4653/406955/134/3756/3776/142/183/3775/88/6262/114131/783/3799/288/29119/219736/3778/10105/2894/5728/3988/30819/153/10935/642938/594857/664/1815/3784/57053/3767/6833/3746/5024/1128/266743/7351/10008/2915/4544/8898/2893/83875/1813/9177/3359/6330/6327/4297/84866/2900/55800/3762/775/3742/3736/3741/2904/3764/10060/5318/120892/784/23416/41/9498/6334/27345/3747/79738/1634/54434/488/23316/80024/6910/4842/5027/5025/23111/259232/9472/55012/27133/6547/5663/801/123041/57596/2562/2558/2567/1139/57369/567/4734/10021/388135/1138/1136/1143/8912/57465/18/2903/1201/112755/1258/442901/11060/93107/9780/7531/7442/1497/5026/409/1145/1742/57555/1140/482/29098/7314/124925/6532/40/3728/8506/4355/10052/4137/8913/81033/6329/3759/2905/10458/63895/406922/1824/1829/56853/4092/23327/5366/596/81832/26251/610/2767/2769/9294/54831/6511/23373/6324/478/2901/2931/3783/1760/2906/581/3743/54795/79784/3748/50944/3754/23620/3790/2281/3777/30845/6546/170850/9378/6869/205251/274/22930/785/3760/90134/6328/6326/6323/6335/6332/1134/7341/6508/23704/55022/1144/2859/666/83959/80025/598/6714/140730/3787/23613/3745/3755/406904/4923/1137/3785/1525/351/2897/6647/9992/3753/1291/637/135/7533/10369/8911/706/23542/85358/859/7476/131096/23171/407015/6331/6336/11280/4057/776/7871/151647/10550/200959/152404/64091/2932/846/66000/55186/483/22871/10242/27094/55669/200909/170572/285242/2257/1739/9948/55584/8929/2565/2555/2557/2560/3791/8671/213/6622/2895/5530/64116/27068/287/817/54532/2743/2891/8001/9631/23530/348980/401190/153396/4208/2745/3781/57528/154/2741/2890/2561/2559/2554/2566/100131897/30820/2568/1812/6569/10399/1832/1906/2550/8645/54209/2030/9481/2729/22999/9096/1268/2569/2570/2898/11149/64208/8838/5350/2697/10345/9465/2911/23345/6648/5071/5575/340273/8326/6804/948/781/6717/10142/375611/5649/1811/1738/4897/857/4233/1080/3751/407024/1180/3757/665/148/2185/1135/79845/1142/8973/9312/3788/9699/27012/3786/407030/407033/169522/7415/10497/4882/9630/2776/4915/116443/5774/138429/25/2902/57502/2742/1756/4693/3750/54413/23630/7224/2892/2273/2258/2332/2564/2556/55879/215/4204/2316",428
"GO:0010720","GO:0010720","positive regulation of cell development","422/14761","460/18986",0.917391304347826,1.17997366739027,7.3037666057076,5.40973336552484e-16,1.15407645131197e-12,8.12219265651958e-13,"5590/7161/56998/2475/7133/23013/2048/23028/864/8289/3065/23499/4352/63950/4898/7804/149233/23566/57463/1435/9398/4853/10456/51043/60484/63827/50848/55811/7292/259266/5788/4656/9580/3586/50604/1378/4179/5362/7779/3142/11221/3707/89780/57165/27185/114548/3601/3559/2625/3688/8829/5979/6387/118738/22891/1959/64115/57178/118813/9148/57698/84504/101/1982/644943/796/4654/627/5080/4076/7189/5896/55626/6688/745/10524/9092/23529/8772/4135/26011/8322/2915/3606/1813/7704/406911/50937/939/920/64581/5139/3845/65981/196528/7480/6602/283471/3071/9840/6601/3458/23011/4673/4618/4617/4254/10154/5501/23316/26259/54997/3146/8600/5925/5457/114798/1638/3981/55795/2621/4860/4323/22985/2290/55012/51199/652/5583/3091/22890/677/8650/2353/22938/8111/23405/23191/10125/6692/3706/5604/56965/27020/57611/8482/646/64410/176/145864/2242/79006/30812/57465/29904/3566/29117/1540/6376/1003/865/146433/9798/8140/5176/5048/443/9513/146850/9423/51393/7732/3965/2124/5914/6605/9001/6777/8153/2670/4137/7473/406991/1636/6603/5578/57521/10458/4092/10892/8792/596/6794/8943/5605/8744/9294/6597/23476/3594/1463/404037/84079/4099/84807/7305/22933/9253/558/7040/1954/259307/11006/6664/3398/9655/53335/7535/8808/3553/27177/2736/274/5624/7852/4036/841/659/1385/2335/7520/23363/2043/5270/3635/10494/650/4821/7052/100/63925/128506/23394/6790/5105/1002/26039/140685/140578/7074/10215/861/1826/7122/6598/7494/3976/50487/2033/2547/706/23654/85358/7048/2803/1524/1499/22906/1230/6599/5364/1605/54106/55193/56203/6092/6091/64332/941/3059/942/5361/23129/170506/4311/6474/5584/6498/86/8087/9175/2119/9370/604/4976/3280/116211/118/9353/399/170825/3815/22902/5196/4825/5530/133308/51176/8654/3558/2247/3600/5458/7097/7424/9037/3575/3572/4131/23440/8546/1462/1404/1946/4124/3565/51265/406937/133522/972/3593/1627/8737/4739/9308/3400/6659/4049/3122/3123/6046/54209/84630/7422/3605/23376/7101/2309/3066/8876/4602/4988/26230/57492/9444/55274/60/3569/2737/816/1956/3984/57154/51412/1523/5649/7472/5803/6608/91584/5764/673/6604/6009/7516/6469/1960/4747/7976/5591/4067/5324/27067/3574/8767/169200/7071/81501/10221/3297/6595/5991/90865/5789/6363/6461/301/4915/10507/6850/4920/22954/399665/4851/6792/11141/407006/407007/10013/50943/10800/695/80823/7224/79576/54440/2332/5365/3897/4204/2664/55558",422
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","283/14761","300/18986",0.943333333333333,1.21334101122327,6.96188168970412,1.82952288418274e-15,2.92723661469239e-12,2.06013905826788e-12,"57449/9927/128272/55160/5909/2048/3925/85440/117178/84144/9411/10451/79574/1435/4803/4853/56882/9909/9181/4914/9826/50848/4653/27/9928/23380/7042/3707/84033/58480/440730/57568/10276/57584/94134/3688/8829/221002/58504/84986/23268/8729/8036/64787/23075/392/4038/8567/116985/9828/408/8301/143872/5962/57569/335/867/23365/50937/9743/440073/2305/55200/397/2059/3845/121512/29127/64333/115557/4254/3479/83892/9815/8437/54509/221178/90627/89890/84078/10253/23348/23263/22821/55701/394/253959/382/6655/26030/26037/89839/10125/84952/10260/4649/5923/11214/7249/55114/253980/9289/25894/79567/29/1398/23108/22899/9912/201163/7126/4763/57636/2064/201176/3675/406991/10672/9267/396/79822/10928/10982/6014/23526/7409/23370/25959/57572/85360/64926/4650/9170/23094/9138/199731/348/2828/2909/9266/54922/23636/54869/6654/57142/9938/10617/9448/23550/50649/55843/1123/3685/1281/57679/8452/55619/9290/25791/57186/6714/7052/57148/343578/57580/10564/7074/6453/65078/1399/8216/613/27128/23616/27352/23779/9901/5894/9922/152273/5364/50650/6091/57514/285282/8997/57493/5291/5922/1894/604/9353/83478/10144/10252/79658/26269/153478/7204/2255/202243/64283/2149/2150/5924/56990/51306/84249/81848/23092/1452/1794/8878/9750/5863/8831/50619/221472/23607/93663/57221/57480/26230/117289/221938/9265/5879/1124/117/64759/27342/26053/2056/10603/5649/5294/4233/407024/7984/9639/157285/10395/23362/5516/2339/10565/80243/137735/51571/22898/80728/81704/23189/55667/7010/10507/89846/2203/19/1902/153090/57706/286205/79109/9649/84253/25/7410/4851/395/23096/2245/23229/407008/4983/9754/8473/154796/139818/90167/4168/393/10251",283
"GO:0007264","GO:0007264","small GTPase-mediated signal transduction","442/14761","491/18986",0.90020366598778,1.15786645907757,6.62450268357035,4.65420498064736e-13,5.95738237522862e-10,4.19270381309265e-10,"2782/57449/11315/9927/10630/128272/55160/5909/998/2048/3925/10163/65979/64121/1718/1600/85440/9077/117178/84144/8412/9411/10451/79574/1435/5906/389/4893/4803/4853/56882/9909/6016/9181/128239/4914/9826/50848/4653/55103/27/23179/9928/23380/7042/3707/84033/58480/5867/440730/57568/1122/10276/2665/57584/22931/94134/3688/8829/221002/58504/9886/3988/51196/84986/23268/8729/403/8036/150/57698/1793/85442/64787/391/23075/5741/22800/4925/392/4038/8567/10235/116985/9828/408/27314/8301/23682/143872/54734/5962/57569/335/867/23365/50937/9743/440073/2305/55200/397/85004/2059/3845/121512/120892/10411/29127/64333/115557/5908/23011/4254/440107/3479/83892/9815/8315/8550/8437/283455/11021/54509/221178/90627/89890/84078/5925/10253/5911/10160/23348/8874/23263/22821/55701/394/253959/382/6655/57381/26030/376267/26037/440193/23191/89839/10125/171177/11261/9101/373509/84952/51495/10260/4649/5923/11214/398/7249/55114/27040/253980/55715/9289/25894/79567/1012/29/1398/23108/30851/5338/7157/22899/9423/9912/201163/8844/7126/4763/55288/57636/2064/28511/8153/10900/201176/3675/406991/10672/23580/2885/9267/396/79822/201475/10928/6093/10982/6014/220164/23526/10045/7409/23370/25959/57572/57139/85360/64926/4650/9170/9710/23094/115727/9138/199731/348/2828/2909/9266/54922/6237/23636/54869/10971/9475/388/25780/10602/6654/23433/57142/55704/9938/10617/6242/1796/9448/23550/5899/84084/50649/55843/390/11069/1123/10787/3685/1281/57679/10152/84812/8452/55619/9290/25791/9855/54453/57186/6714/7052/57148/343578/57580/10564/55816/7074/6453/65078/1399/8216/613/10633/5880/27128/11135/23616/9402/27352/23779/9620/9901/55845/5894/9922/152273/28512/5364/11188/50650/6091/57514/285282/8997/57493/152015/22808/5291/5922/185/6478/5912/5337/1894/604/10188/9353/399/9908/8615/153020/83478/10144/890/2247/10252/79658/9693/26269/153478/7204/2255/10769/202243/64283/2149/2150/5924/56990/51735/51306/84249/81848/23092/1452/10146/1794/80230/8878/255426/9750/199/5863/8831/50619/1026/221472/23607/57531/8936/93663/57221/57480/26230/117289/2768/221938/9265/5879/9771/1124/117/9844/5898/64759/27342/26053/3984/889/1278/2056/10603/5649/5294/9732/4233/407024/7984/6009/9639/157285/10395/23362/9046/23221/80005/5516/2339/6386/10565/80243/137735/51571/22898/80728/81704/23189/55667/7010/10507/89846/2203/19/8727/1902/153090/57706/286205/79109/9649/84253/25/2889/5900/7410/4851/395/9367/7454/3266/23096/2245/23229/407008/4983/9754/8473/1121/51209/154796/139818/9363/90167/57826/4168/393/2664/116442/10251",442
"GO:0001822","GO:0001822","kidney development","298/14761","322/18986",0.925465838509317,1.19035935302065,6.439462630576,5.78495168346478e-13,6.1706151290291e-10,4.34277337781505e-10,"7161/56998/842/54361/3399/79727/26508/10269/1579/255738/4070/9653/7482/3158/4853/3570/57216/5087/5972/947/5629/1063/7042/55746/183/4811/55083/2625/8516/8829/5979/80114/84159/8879/9231/1592/51196/3070/5076/84445/2253/403/2674/2263/3611/8642/55366/7490/847/4038/23279/9356/5017/8772/7481/282679/10413/79659/80310/38/7704/3312/84623/5800/3764/120892/7471/359/23371/10220/57122/80184/317/4326/8100/341640/1910/1948/652/6495/51804/384/26585/342184/26258/2200/26108/8854/4643/9245/4091/4088/64220/1512/8826/30812/5310/84662/7369/6299/23322/79191/2303/5176/1497/9955/9953/201163/4763/54475/163/3975/6928/5914/7484/3690/3217/3675/9241/1636/5175/6662/79902/23210/7541/80000/4087/4092/4089/596/8710/25959/4854/9244/25789/7040/2828/581/6664/130497/6382/10736/51057/27302/56603/5455/10018/7849/2736/4036/3237/6772/8837/2066/7475/2043/8452/1286/1285/26146/650/182/64412/171023/6385/4318/55959/655/3911/9510/1312/162/3976/11020/4357/5155/7477/5915/93/1499/3913/8692/7474/6092/28999/29927/23129/27031/185/25937/4311/25976/9370/3280/1739/7466/57545/8842/9353/5156/80144/5311/5530/255743/2028/2247/10252/4086/1909/54798/3248/153572/79192/170690/10409/25836/2255/11174/79810/2297/51301/4208/4090/26249/1958/2246/5159/6569/2296/654/7020/1906/84062/6659/5754/7422/23607/7021/5314/2045/6492/639/100133941/10758/221322/6943/54806/6580/168002/5154/56913/358/168667/2737/1644/9863/6608/5420/231/2146/6469/285/4824/2260/6422/64321/23213/2138/157506/793/392255/116039/50484/284/2131/3037/9788/4609/55871/9350/7010/5125/2650/5727/203286/7046/27130/11064/445/7248/4851/5613/9104/9500/139285/4435/186/2719",298
"GO:0002009","GO:0002009","morphogenesis of an epithelium","449/14761","500/18986",0.898,1.15503204389946,6.56651339808446,8.1513621630743e-13,7.45267397766793e-10,5.24506446553307e-10,"1855/6497/55966/388591/5293/56998/2475/4524/10630/1969/998/54361/57822/25932/126695/65979/7075/6491/4070/5567/3491/9653/8543/11146/1435/64783/7482/389/4853/388698/57216/5087/92344/10765/3586/5629/7042/89780/183/6262/55083/2625/221074/94134/3688/8829/5979/2658/219736/4838/7414/9231/79812/5728/9585/5076/84445/10660/8945/2253/51684/2263/10522/977/9024/3611/8642/133/9645/55366/55327/7490/960/7189/187/4041/26005/7481/5058/5241/10413/4321/79864/6768/81029/7289/3845/144165/7421/7471/401720/94/3853/112802/5916/3678/8914/10818/8549/80184/59277/317/121643/79600/6910/84678/10959/90627/341640/83852/5100/10253/1948/1282/4323/84962/7080/3169/10979/652/10640/6495/51804/3091/4522/64398/5663/123016/55727/51676/3714/26585/342184/6692/54567/2252/8854/4088/10116/4649/585/5371/1512/56963/220/30812/7249/5310/23059/8399/3687/85407/6299/23322/79191/4313/65009/146206/80004/123872/55625/2294/2303/5048/1497/5216/9423/9955/9953/8456/6356/3975/6928/5469/5914/147183/3859/3868/3872/2648/4669/388389/7484/3690/3214/3217/10481/1747/9241/54903/406991/6909/9496/10672/6662/2885/9021/55036/284217/80000/57534/4089/596/5268/682/84292/5566/25789/10653/7040/1954/634/7408/25865/2909/54922/80199/84446/10155/6201/6664/6868/9687/130497/388/151449/10890/26160/6654/10736/51057/5534/344022/85474/54910/4867/7849/57669/2736/23332/7852/90/4036/129880/3239/3237/2487/3685/6772/23671/7855/2066/3488/7475/80326/2043/2637/26146/6939/7053/55612/650/8195/182/23767/58495/64412/6714/7052/51098/6789/6385/6615/57167/655/1522/3911/54101/27443/3976/23616/57591/7477/9620/23654/859/7476/7048/131405/23122/1499/29072/1605/7474/8820/27086/200894/55081/90102/846/3693/5361/55764/23129/27031/11235/339829/1427/8626/4976/3280/1739/9948/57545/9353/3516/11019/3791/3346/2926/374/3627/80144/83478/5311/255743/51176/1950/55212/2247/10252/27152/64399/1909/6423/9464/7424/836/2195/153572/79192/170690/81792/2255/10468/2297/4208/26249/1839/2246/2908/1436/9421/1482/4488/94234/2295/6239/7020/1906/3400/780/63943/4855/6046/5754/7422/5314/8521/653/9096/2045/2697/84870/6943/54806/64065/10370/25902/2099/5154/60/25928/7291/57057/5898/2737/83605/23242/1956/10512/3082/9723/4233/7472/51384/6608/5420/6469/64478/2626/10395/4824/7976/2260/6422/6591/64321/9420/23213/2138/157506/6788/79977/8323/115908/340419/2131/9788/4609/23513/768/23552/5727/2304/9314/3371/23245/9355/2022/1861/25/7248/1289/4851/441478/5613/407006/9500/4478/367/4983/1741/9968/4435/186/2719/7547/2316",449
"GO:0031589","GO:0031589","cell-substrate adhesion","331/14761","361/18986",0.916897506925208,1.17933853170395,6.4302654891662,9.80919788149797e-13,7.84735830519837e-10,5.52283654406971e-10,"5590/55966/9341/10630/55920/998/54361/6548/1307/23499/10420/4070/27329/3491/2633/7412/1435/8515/8394/6281/8751/1942/7059/4653/63923/3915/9928/23380/947/27185/4811/88/8516/6251/9200/3688/8829/253725/1305/9806/5328/7414/5728/10580/8861/9748/1308/340706/1793/3611/56672/55742/960/51144/5795/9404/83706/402/30008/8500/2017/8322/4321/335/7070/7007/83700/7450/5800/5318/7471/94/3695/3678/3679/967/4617/8499/59277/23603/5829/10631/55901/10562/407048/9358/8874/2621/4323/84962/22795/10979/87/10516/4287/26585/342184/7057/7301/161497/554225/54822/3175/302/4091/4088/22801/10391/79834/123720/10519/10232/5310/2013/146183/11151/3683/3684/3687/3681/6376/1009/1012/2294/1398/3682/246/50488/708/482/4763/80725/1236/3728/1845/3674/3690/8631/3675/1277/3691/201294/5034/6904/6093/9480/596/8174/1613/6370/50509/81/558/4680/4059/2523/6237/91663/57348/9270/9475/11117/5212/5581/11037/51057/5861/84168/9448/3987/10018/10461/57669/23332/55679/3694/3655/3232/3676/3685/1281/8324/2335/10109/25992/5786/6614/55612/182/54453/117285/6714/6789/6385/57580/5770/57091/3911/7074/3689/1399/9647/613/4771/5880/11078/5155/29780/64098/2192/2199/23122/3680/1499/10675/1605/11170/56999/2042/1295/25890/10225/90102/151887/2932/3693/2047/5291/2049/6480/604/347/4585/4241/683/22998/3791/3346/10855/1758/255743/55435/79625/2244/2243/81792/133584/1601/56477/3672/3673/5295/10085/5921/1946/2241/6695/81848/2196/56940/6239/2651/4739/55604/780/7148/5467/7422/5314/11149/5796/1490/7402/5340/79778/55698/5879/10551/3696/54749/64005/375567/948/9723/1021/8910/7205/5054/136227/3912/4289/673/7791/2041/285/10395/2267/2039/10174/80005/2185/59339/8754/6422/284/3037/5747/100126351/23189/3717/158326/340485/7010/7016/7094/51754/1842/79987/25/7248/11093/4851/5613/395/25975/2824/8573/1896/340533/3897/2316",331
"GO:0072001","GO:0072001","renal system development","306/14761","332/18986",0.921686746987952,1.18549858263758,6.37343389152123,1.21191017749637e-12,8.61802792886306e-10,6.0652206426982e-10,"7161/56998/842/54361/3399/79727/26508/10269/1579/255738/4070/4774/9653/7482/3158/4853/3570/57216/5087/5972/947/5629/1063/7042/55746/183/4811/55083/2625/8516/8829/5979/80114/84159/8879/9231/1592/51196/3070/5076/84445/2253/403/2674/2263/3611/8642/55366/7490/847/4038/23279/9356/5017/8772/7481/282679/10413/79659/80310/38/7704/3312/84623/5800/3764/120892/144165/7471/359/23371/10220/57122/8549/80184/317/4326/8100/341640/1910/1948/1282/652/6495/51804/384/123016/26585/342184/26258/2200/26108/8854/4643/9245/4091/4088/64220/1512/8826/30812/5310/84662/7369/6299/23322/79191/2294/2303/5176/1497/93649/9955/9953/201163/4763/54475/163/3975/6928/5914/7484/3690/3217/3675/9241/1636/5175/6662/79902/23210/7541/80000/4087/4092/4089/596/8710/25959/4854/9244/25789/7040/2828/581/6664/130497/6382/10736/51057/27302/56603/5455/10018/7849/2736/4036/3237/6772/8837/2066/7475/2043/8452/1286/1285/26146/650/182/64412/171023/6385/4318/55959/655/3911/9510/1312/162/3976/11020/4357/5155/7477/5915/93/1499/3913/8692/7474/6092/28999/29927/23129/27031/185/25937/4311/25976/9370/3280/1739/7466/57545/8842/9353/5156/80144/5311/5530/255743/2028/2247/10252/4086/1909/54798/3248/153572/79192/170690/10409/25836/2255/11174/79810/2297/51301/4208/4090/26249/1958/2246/5159/6569/2296/654/7020/1906/84062/6659/5754/7422/23607/7021/5314/9096/2045/6492/639/100133941/10758/221322/6943/54806/6580/168002/5154/56913/358/168667/2737/1644/9863/6608/5420/231/2146/6469/285/4824/2260/6422/64321/23213/2138/157506/793/392255/116039/50484/284/2131/3037/9788/4609/55871/9350/7010/5125/2650/5727/203286/7046/27130/11064/445/7248/4851/5613/9104/9500/139285/4435/186/2719",306
"GO:0001654","GO:0001654","eye development","373/14761","411/18986",0.907542579075426,1.16730596885889,6.40940580247322,1.81811805316192e-12,1.16359555402363e-09,8.18918647313668e-10,"2782/6497/261734/10218/9927/1969/4237/2048/57822/25932/65979/3065/3208/1296/84879/149461/2301/4774/6121/343472/8412/118427/2780/128338/7482/204851/4853/2703/55891/10763/22926/5087/356/23418/779/10765/493/343035/5629/7042/7483/2625/7431/256297/22931/6935/8829/5979/196740/220202/5146/84287/5076/11023/6240/7275/10083/57084/5080/5954/7490/24147/1270/11145/57010/4041/25987/4647/8322/65084/120114/4544/1410/1813/7070/5818/50937/81029/775/7289/113246/9573/8076/1027/144165/362/94/5916/5204/10220/56890/10818/79738/4617/80184/246213/121643/84678/2254/51761/2321/145173/341640/10253/84189/1282/6656/57096/6297/652/4990/3091/57381/64093/5663/2353/23093/123016/64919/7528/4212/161742/54567/2200/8854/84465/197021/4088/10002/585/64220/1543/49855/220/30812/85407/23322/79583/170692/4094/146167/2303/5176/1497/5187/22899/4213/27077/1411/4763/84440/146862/3975/5469/5914/3859/6774/4669/7484/6909/22901/6662/54549/23210/25794/8736/284217/5797/57045/56853/30062/596/682/51343/6597/27151/23770/80714/23094/399473/7040/56006/388552/10848/147912/79147/2909/56917/581/57030/3982/112724/7837/6664/130557/26160/6654/2202/51057/200734/4211/57835/4867/10461/22930/1745/1746/6670/4760/1290/659/10152/7855/1421/1420/7475/1412/646960/8864/130916/128637/182/631/55184/22803/30813/60436/655/79444/3150/1826/5316/1409/1417/1415/1413/1414/4771/3985/9215/468/7477/491/7476/7068/5915/7048/93/1499/3913/2779/7474/8820/56999/4286/131544/1295/50939/25945/55764/6010/8419/2047/5523/344658/5584/6498/86/1427/57110/3280/1739/5158/57545/8842/57728/5156/3791/658/5308/55212/2247/10252/256471/23657/5458/2823/55714/2195/6531/79888/25836/2255/348980/134359/4124/2201/5145/5159/285590/2916/2295/2296/654/7020/84062/6659/5089/5961/7422/221391/7021/85015/639/7101/3066/221322/2697/54806/10370/100126572/221935/7291/340273/358/3624/2737/1956/2792/43/7472/23554/51384/5078/28996/835/6604/155051/6469/2055/9172/94137/6101/55636/157506/27067/793/116039/79977/22882/6505/4781/401498/6096/4915/23287/23552/23424/7111/7046/9314/286204/9355/5090/114789/10319/1289/4851/357/4810/4693/91851/1641",373
