"pathway","NES","padj","gene","gene_log2FC","gene_padj"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"PLOD2",-2.15929545857339,1.05987084347198e-51
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"BDNF",-2.0899292559598,1.26531804994467e-20
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"TPM1",-2.06636952634976,2.40646339077541e-56
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"PRRX1",-2.06534801811558,1.01023716651128e-57
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"COL5A1",-2.06127172205798,2.53064541586658e-59
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"FSTL1",-1.99637869073096,6.66165964748965e-45
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"ENO2",-1.98785866529188,4.89038813677566e-41
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"SNTB1",-1.95209714283878,7.4098133859516e-11
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"SFRP4",-1.92150532662893,1.76056696959568e-11
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"LGALS1",-1.89058585175024,5.88042158610956e-22
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"IL32",-1.86940676234797,1.47119250919005e-05
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"FAP",-1.86207096060932,2.46120516999869e-14
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"COL4A2",-1.84703012684067,4.13981133297511e-50
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"PFN2",-1.79779925167938,3.20951643903167e-22
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"COL4A1",-1.76638971877568,2.62218697482496e-34
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"SDC4",-1.71931164630496,2.70043276572579e-33
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"ACTA2",-1.68412026938753,9.11513685196835e-10
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"SLIT2",-1.66905540272956,4.55501707309113e-44
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"LOX",-1.64185285649426,1.2660405673323e-16
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"SLIT3",-1.61830933481107,1.16510539292449e-16
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"PVR",-1.55593731269292,9.55269142729332e-37
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"FBLN1",-1.53655109648219,2.12318043207845e-16
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"PMEPA1",-1.53446936166181,3.44689445133912e-25
