"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.9682496752229e-09,4.40887927249929e-07,0.774939030136436,-0.47409810572477,-2.0594886782831,188,"CCN2;CCN1;COL11A1;THBS1;DAB2;NNMT;ITGB3;ABI3BP;TNFRSF11B;VCAM1;IGFBP3;VIM;CDH11;PTX3;VCAN;IL6;LRRC15;CALD1;COL5A2;VEGFC;COL12A1;LOXL1;FZD8;FBN1;DKK1;CAP2;LOXL2;FN1;COL1A2;PTHLH;VEGFA;PMP22;NT5E;SERPINE2;PLOD2;BDNF;TPM1;PRRX1;COL5A1;FSTL1;ENO2;SNTB1;SFRP4;LGALS1;IL32;FAP;COL4A2;PFN2;COL4A1;SDC4;ACTA2;SLIT2;LOX;SLIT3;PVR;FBLN1;PMEPA1;ADAM12;CXCL8;COL5A3;MATN2;TGFBI;MMP14;IL15;THY1;SFRP1;CDH2;DST;FERMT2;FAS;BGN;FGF2;SERPINH1;CDH6;TNFAIP3","Hallmark"
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",3.84904487899761e-05,0.00431093026447732,0.557332238758646,-0.776960260526687,-2.12184375831403,17,"LOXL1;LOXL2;COL1A2;COL4A6;COL4A2;COL4A1;LOX;COL4A4;PXDN;LOXL3;BMP1;COL4A5","Reactome"
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",0.000153666235500976,0.0114737455840729,0.518848077743792,-0.482987887443444,-1.83990812131457,76,"COL11A1;THBS1;DDR2;ITGB3;ITGB4;DMD;COL5A2;NTN4;FN1;COL1A2;COL5A1;COL4A6;SNTB1;SNTA1;COL4A2;HSPG2;COL4A1;SDC4;ACTA2;COL4A4;COL5A3;ACTN1;LAMA5;SSPN;FGF2;ITGA2;ACTB;LAMB2;SGCE;UTRN;COL10A1;COL4A5;LAMA2;TNC;DTNA;LAMA3;SGCG;SDC3","Reactome"
"GOBP_CELL_SUBSTRATE_ADHESION",0.000831775330022707,0.0465794184812716,0.477270815362862,-0.304871856606205,-1.40541252474614,328,"CCN2;CCN1;THBS1;PARVA;DAB2;ITGB3;ABI3BP;VCAM1;COL8A1;ITGB4;CDH11;AJUBA;NTN4;EPHA3;ITGB8;LIMCH1;NDNF;DOCK1;FN1;CDK6;RIN2;CCDC80;CD36;VEGFA;ANGPTL3;ITGBL1;EMP2;PTPRK;ANGPT1;RAC3;AXL;PTPRO;MYADM;ITGA4;SDC4;NRP1;CD34;HAS2;EFNA1;SORBS1;PLEKHA2;DUSP3;TRIP6;KIF14;FBLN1;TRIOBP;COL5A3;FOXF1;MMP14;HOXD3;THY1;SFRP1;ACTN1;TYRO3;LAMA5;ACTN4;FERMT2;ITGA3;PKD1;BST1;ITGAM;CDH13;PHLDB2;FUT1;KANK1;HOXA7;ADAMTS12;ITGA2;CX3CL1;EGFLAM;ADAMTS9;STON1;CSF1;SGCE;DOCK5;ARHGAP6;UTRN;ADAM9;S100A10;NF2;HACD1;ONECUT1","GO:BP"
"GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION",0.00164841357383977,0.0738489281080217,0.45505986738723,-0.388447046007112,-1.57248813378146,113,"THBS1;ATOH8;ITGB3;EDN1;RHOJ;VEGFC;PRKD1;TMSB4X;ANXA3;ETS1;ANXA1;RIN2;AMOT;HDAC9;VEGFA;MET;ANGPT1;PLK2;GPI;MIR221;NRP1;MIR30A;SRPX2;HSPB1;PIK3CD;HMOX1;PTGS2;MIR10B;FOXP1;ADGRA2;FGF2;FUT1;MIR210;HMGB1;SCARB1","GO:BP"
"GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION",0.00510550692996779,0.0816881108794846,0.407017918923954,-0.353181997920794,-1.46344706415096,132,"THBS1;RHOJ;CYP1B1;VEGFC;PRKD1;TMSB4X;STARD13;ETS1;ANXA1;MIR2355;AMOT;HDAC9;VEGFA;EMP2;ANGPT1;PLK2;CDH5;EPHA2;SOX18;MIR221;CLEC14A;NRP1;MIR30A;SLIT2;SRPX2;EFNA1;HSPB1;SPRED1;HMOX1;PTGS2;MIR10B;GPX1;MEF2C;FGF2;TBXA2R;MYH9;MIR210;MIR505;HMGB1;SCARB1;MICALL1;CARD10;HDAC7;MIR204;ID1;NR2E1;HIF1A;MIR135B","GO:BP"
"GOBP_DENDRITIC_CELL_CHEMOTAXIS",0.00502092050209205,0.0816881108794846,0.265216893779997,0.691758713245729,1.72973128240004,17,"ARHGEF5;CCR7;GAS6;TRPM2;SPI1;CCR1;CCL5;IL12A;PIK3CG","GO:BP"
"GOBP_DENDRITIC_CELL_MIGRATION",0.00373922939359454,0.0816881108794846,0.303779434551183,0.638828205195776,1.72939157134104,24,"ARHGEF5;CCR7;GAS6;TRPM2;SPI1;CCR1;ALOX5;CCL5;IL12A;PIK3CG;NLRP12","GO:BP"
"GOBP_FOCAL_ADHESION_ASSEMBLY",0.00314131894650509,0.0816881108794846,0.431707695803346,-0.403526685521326,-1.55070402538945,81,"THBS1;CDH11;AJUBA;EPHA3;LIMCH1;VEGFA;PTPRK;SDC4;NRP1;SORBS1;DUSP3;TRIP6;MMP14;THY1;SFRP1;ACTN1;FERMT2;PHLDB2;ITGA2;STON1;ARHGAP6;S100A10;COL16A1;SMAD3;LIMS1","GO:BP"
"GOBP_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION",0.00501709135967309,0.0816881108794846,0.407017918923954,-0.442743046727513,-1.61777273766407,62,"THBS1;RHOJ;VEGFC;PRKD1;TMSB4X;ETS1;ANXA1;AMOT;HDAC9;VEGFA;ANGPT1;PLK2;MIR221;NRP1;MIR30A;SRPX2;HSPB1;HMOX1;PTGS2;MIR10B;FGF2;MIR210;HMGB1","GO:BP"
