## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/Eva_submission/SRF_Eva_Cut_and_Tag/results/04_filtered/TEAD1-1_with_rg.bam] OUTPUT=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/Eva_submission/SRF_Eva_Cut_and_Tag/results/04_filtered/TEAD1-1_dedup.bam METRICS_FILE=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/Eva_submission/SRF_Eva_Cut_and_Tag/results/04_filtered/TEAD1-1_dedup_metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 03 15:41:17 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	58252625	0	357992980	0	55204475	982028	0.947674	3048150

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1	636544	0	691475
2.0	1	307166	468700	308331
3.0	1	216094	109440	211268
4.0	1	166838	30625	160264
5.0	1	133737	11406	127914
6.0	1	111067	5399	105894
7.0	1	93717	3172	89390
8.0	1	81242	2045	77733
9.0	1	71129	1444	69080
10.0	1	63726	1070	61099
11.0	1	56946	794	55216
12.0	1	51534	629	49961
13.0	1	47194	466	45410
14.0	1	43224	406	42072
15.0	1	40174	296	39438
16.0	1	37623	256	36543
17.0	1	35200	209	34494
18.0	1	32564	160	31886
19.0	1	30670	173	30082
20.0	1	29023	125	28463
21.0	1	27832	105	27476
22.0	1	26631	108	25967
23.0	1	25194	81	24858
24.0	1	23680	63	23258
25.0	1	22642	50	22398
26.0	1	21833	48	21368
27.0	1	20987	33	20671
28.0	1	20225	50	20000
29.0	1	19334	34	18934
30.0	1	18431	30	18347
31.0	1	17893	20	17597
32.0	1	17055	30	16833
33.0	1	16475	25	16386
34.0	1	16043	24	15798
35.0	1	15704	15	15465
36.0	1	14917	22	14868
37.0	1	14618	12	14366
38.0	1	14177	13	14090
39.0	1	13715	13	13677
40.0	1	13424	15	13245
41.0	1	12722	9	12504
42.0	1	12525	8	12286
43.0	1	12057	7	12199
44.0	1	11930	8	11674
45.0	1	11417	8	11381
46.0	1	11249	9	11081
47.0	1	10979	6	10896
48.0	1	10527	2	10408
49.0	1	10242	4	10097
50.0	1	10085	5	9912
51.0	1	9532	3	9534
52.0	1	9415	6	9346
53.0	1	9262	2	9277
54.0	1	8947	3	8739
55.0	1	8616	4	8533
56.0	1	8234	3	8204
57.0	1	8150	2	8084
58.0	1	8046	3	7897
59.0	1	7536	5	7554
60.0	1	7483	3	7323
61.0	1	7204	4	7196
62.0	1	7065	5	6912
63.0	1	6828	3	6769
64.0	1	6670	0	6577
65.0	1	6279	1	6167
66.0	1	6079	1	6047
67.0	1	5952	3	5751
68.0	1	5646	1	5527
69.0	1	5294	4	5375
70.0	1	5242	3	5105
71.0	1	5051	2	4918
72.0	1	4669	0	4672
73.0	1	4614	1	4532
74.0	1	4374	1	4280
75.0	1	4116	2	4056
76.0	1	3945	2	3901
77.0	1	3777	2	3630
78.0	1	3431	2	3385
79.0	1	3367	0	3288
80.0	1	3105	0	3117
81.0	1	3019	0	2928
82.0	1	2803	0	2757
83.0	1	2590	0	2526
84.0	1	2479	0	2418
85.0	1	2306	0	2201
86.0	1	2034	1	2039
87.0	1	2030	1	1920
88.0	1	1968	0	1881
89.0	1	1692	0	1651
90.0	1	1648	1	1628
91.0	1	1560	1	1478
92.0	1	1359	1	1304
93.0	1	1274	1	1280
94.0	1	1279	1	1254
95.0	1	1186	1	1178
96.0	1	1119	1	1051
97.0	1	1025	0	964
98.0	1	906	1	923
