## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/Eva_submission/SRF_Eva_Cut_and_Tag/results/04_filtered/IggRb_with_rg.bam] OUTPUT=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/Eva_submission/SRF_Eva_Cut_and_Tag/results/04_filtered/IggRb_dedup.bam METRICS_FILE=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/Eva_submission/SRF_Eva_Cut_and_Tag/results/04_filtered/IggRb_dedup_metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 03 15:02:41 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	28079966	0	72732530	0	25312620	489907	0.901448	2767475

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000007	589104	0	623360
2.0	1.000047	283530	312486	282020
3.0	1.000047	198902	53972	195325
4.0	1.000047	156596	11081	153528
5.0	1.000047	131286	2974	128635
6.0	1.000047	114127	1221	112259
7.0	1.000047	102493	584	100868
8.0	1.000047	93499	359	92100
9.0	1.000047	86855	243	85252
10.0	1.000047	81231	182	80199
11.0	1.000047	77070	144	76111
12.0	1.000047	73048	92	72095
13.0	1.000047	69323	73	68728
14.0	1.000047	66506	52	65872
15.0	1.000047	62423	42	61798
16.0	1.000047	59238	26	58618
17.0	1.000047	55080	27	54445
18.0	1.000047	51194	19	50724
19.0	1.000047	47256	11	46574
20.0	1.000047	43167	12	42474
21.0	1.000047	38577	14	38010
22.0	1.000047	35013	13	34280
23.0	1.000047	30889	8	30334
24.0	1.000047	26996	6	26508
25.0	1.000047	24061	4	23470
26.0	1.000047	20778	6	20252
27.0	1.000047	18177	4	17608
28.0	1.000047	15627	1	15130
29.0	1.000047	13458	2	12849
30.0	1.000047	11290	1	10861
31.0	1.000047	9610	1	9334
32.0	1.000047	8208	3	7816
33.0	1.000047	7020	0	6767
34.0	1.000047	6088	2	5796
35.0	1.000047	5067	2	4736
36.0	1.000047	4261	2	4006
37.0	1.000047	3597	0	3315
38.0	1.000047	2951	1	2877
39.0	1.000047	2550	2	2396
40.0	1.000047	2246	1	2107
41.0	1.000047	1855	3	1769
42.0	1.000047	1657	2	1571
43.0	1.000047	1433	1	1368
44.0	1.000047	1307	0	1236
45.0	1.000047	1202	0	1160
46.0	1.000047	1065	1	1003
47.0	1.000047	973	0	948
48.0	1.000047	854	0	807
49.0	1.000047	830	0	791
50.0	1.000047	728	1	699
51.0	1.000047	695	0	699
52.0	1.000047	671	0	652
53.0	1.000047	625	0	630
54.0	1.000047	611	0	597
55.0	1.000047	574	0	556
56.0	1.000047	571	0	550
57.0	1.000047	504	0	474
58.0	1.000047	484	0	488
59.0	1.000047	461	1	444
60.0	1.000047	446	0	447
61.0	1.000047	439	0	424
62.0	1.000047	407	0	396
63.0	1.000047	402	0	425
64.0	1.000047	357	1	369
65.0	1.000047	370	0	345
66.0	1.000047	392	0	344
67.0	1.000047	336	0	312
68.0	1.000047	333	0	329
69.0	1.000047	311	0	305
70.0	1.000047	312	0	312
71.0	1.000047	307	0	317
72.0	1.000047	285	0	295
73.0	1.000047	304	0	311
74.0	1.000047	295	0	247
75.0	1.000047	283	0	255
76.0	1.000047	239	0	221
77.0	1.000047	241	0	261
78.0	1.000047	251	0	251
79.0	1.000047	231	0	266
80.0	1.000047	235	0	226
81.0	1.000047	221	0	211
82.0	1.000047	237	0	220
83.0	1.000047	218	0	223
84.0	1.000047	206	0	223
85.0	1.000047	228	0	194
86.0	1.000047	186	0	195
87.0	1.000047	195	0	184
88.0	1.000047	181	0	178
89.0	1.000047	165	0	187
90.0	1.000047	199	0	168
91.0	1.000047	186	0	183
92.0	1.000047	166	0	169
93.0	1.000047	171	0	169
94.0	1.000047	170	0	150
95.0	1.000047	148	0	157
96.0	1.000047	150	0	154
97.0	1.000047	148	0	134
98.0	1.000047	138	0	149
99.0	1.000047	143	0	131
100.0	1.000047	136	0	131
101.0	0	131	0	130
102.0	0	136	0	141
103.0	0	132	2	135
104.0	0	138	0	126
105.0	0	141	0	138
106.0	0	132	0	119
107.0	0	122	0	142
108.0	0	116	0	122
109.0	0	127	0	109
110.0	0	125	0	109
111.0	0	107	0	96
112.0	0	97	0	100
113.0	0	110	0	95
114.0	0	95	0	111
115.0	0	93	0	96
116.0	0	93	0	100
117.0	0	93	0	93
118.0	0	117	0	97
119.0	0	92	0	102
120.0	0	84	0	86
121.0	0	93	0	98
122.0	0	102	0	103
123.0	0	120	0	89
124.0	0	89	0	106
125.0	0	93	0	88
126.0	0	81	0	95
127.0	0	85	0	79
128.0	0	88	0	87
129.0	0	87	0	97
130.0	0	84	0	61
131.0	0	79	0	67
132.0	0	72	0	93
133.0	0	81	0	86
134.0	0	83	0	66
135.0	0	75	0	77
136.0	0	74	0	86
137.0	0	83	0	65
138.0	0	72	0	73
139.0	0	82	0	79
140.0	0	71	0	68
141.0	0	66	0	56
142.0	0	65	0	69
143.0	0	64	0	59
144.0	0	51	0	69
145.0	0	77	0	62
146.0	0	64	0	62
147.0	0	64	0	50
148.0	0	49	0	65
149.0	0	66	0	77
150.0	0	78	0	70
151.0	0	64	0	72
152.0	0	66	0	63
153.0	0	53	0	54
154.0	0	67	0	66
155.0	0	56	0	46
156.0	0	63	0	50
157.0	0	60	0	60
158.0	0	56	0	54
159.0	0	50	0	50
160.0	0	48	0	47
161.0	0	57	0	53
162.0	0	51	0	64
163.0	0	49	0	48
164.0	0	46	0	51
165.0	0	45	0	57
166.0	0	61	0	43
167.0	0	47	0	53
168.0	0	62	0	45
169.0	0	52	0	58
170.0	0	50	0	46
171.0	0	53	0	49
172.0	0	44	0	52
173.0	0	49	0	46
174.0	0	40	0	48
175.0	0	48	0	42
176.0	0	49	0	42
177.0	0	47	0	35
178.0	0	38	0	40
179.0	0	38	0	36
180.0	0	28	0	47
181.0	0	31	0	37
182.0	0	34	0	32
183.0	0	51	0	26
184.0	0	41	0	40
185.0	0	35	0	37
186.0	0	41	0	32
187.0	0	37	0	30
188.0	0	30	0	40
189.0	0	32	0	28
190.0	0	26	0	22
191.0	0	32	0	38
192.0	0	34	0	32
193.0	0	36	0	31
194.0	0	27	0	45
195.0	0	42	0	42
196.0	0	43	0	37
197.0	0	25	0	34
198.0	0	45	0	38
199.0	0	26	0	33
200.0	0	24	0	33
201.0	0	35	0	26
202.0	0	35	0	33
203.0	0	34	0	28
204.0	0	35	0	34
205.0	0	28	0	39
206.0	0	39	0	30
207.0	0	25	0	27
208.0	0	39	0	29
209.0	0	36	0	27
210.0	0	20	0	30
211.0	0	28	0	21
212.0	0	26	0	24
213.0	0	25	0	35
214.0	0	20	0	30
215.0	0	35	0	39
216.0	0	40	0	22
217.0	0	22	0	24
218.0	0	32	0	30
219.0	0	29	0	26
220.0	0	26	0	32
221.0	0	23	0	25
222.0	0	29	0	12
223.0	0	24	0	28
224.0	0	24	0	34
225.0	0	22	0	21
226.0	0	24	0	30
227.0	0	27	0	25
228.0	0	22	0	24
229.0	0	23	0	25
230.0	0	37	0	21
231.0	0	17	0	17
232.0	0	29	0	26
233.0	0	24	0	16
234.0	0	19	0	19
235.0	0	20	0	18
236.0	0	16	0	23
237.0	0	19	0	16
238.0	0	19	0	17
239.0	0	19	0	30
240.0	0	28	0	18
241.0	0	21	0	20
242.0	0	10	0	23
243.0	0	17	0	30
244.0	0	30	0	20
245.0	0	16	0	16
246.0	0	24	0	19
247.0	0	23	0	22
248.0	0	21	0	22
249.0	0	25	0	18
250.0	0	14	0	11
251.0	0	14	0	21
252.0	0	25	0	17
253.0	0	21	0	20
254.0	0	20	0	17
255.0	0	12	0	18
256.0	0	18	0	19
257.0	0	22	0	22
258.0	0	22	0	20
259.0	0	15	0	15
260.0	0	17	0	16
261.0	0	22	0	18
262.0	0	18	0	19
263.0	0	12	0	15
264.0	0	21	0	28
265.0	0	16	0	18
266.0	0	13	0	12
267.0	0	26	0	17
268.0	0	14	0	23
269.0	0	21	0	11
270.0	0	13	0	15
271.0	0	15	0	24
272.0	0	15	0	21
273.0	0	17	0	18
274.0	0	19	0	15
275.0	0	15	0	9
276.0	0	12	0	17
277.0	0	16	0	12
278.0	0	11	0	14
279.0	0	17	0	14
280.0	0	21	0	11
281.0	0	15	0	18
282.0	0	16	0	15
283.0	0	11	0	16
284.0	0	22	0	11
285.0	0	17	0	14
286.0	0	10	0	13
287.0	0	11	0	19
288.0	0	16	0	16
289.0	0	17	0	8
290.0	0	13	0	7
291.0	0	11	0	21
292.0	0	15	0	14
293.0	0	10	0	15
294.0	0	10	0	17
295.0	0	15	0	10
296.0	0	15	0	15
297.0	0	19	0	16
298.0	0	15	0	14
299.0	0	15	0	8
300.0	0	13	0	18
301.0	0	11	0	12
302.0	0	19	0	11
303.0	0	13	0	13
304.0	0	17	0	18
305.0	0	19	0	13
306.0	0	10	0	13
307.0	0	14	0	16
308.0	0	7	0	11
309.0	0	12	0	7
310.0	0	16	0	7
311.0	0	13	0	7
312.0	0	7	0	12
313.0	0	12	0	6
314.0	0	7	0	9
315.0	0	6	0	11
316.0	0	6	0	10
317.0	0	14	0	8
318.0	0	12	0	13
319.0	0	7	0	11
320.0	0	7	0	9
321.0	0	13	0	7
322.0	0	14	0	16
323.0	0	9	0	15
324.0	0	9	0	8
325.0	0	8	0	8
326.0	0	10	0	15
327.0	0	14	0	7
328.0	0	11	0	16
329.0	0	10	0	6
330.0	0	5	0	11
331.0	0	7	0	11
332.0	0	13	0	12
333.0	0	11	0	10
334.0	0	14	0	11
335.0	0	11	0	10
336.0	0	8	0	12
337.0	0	11	0	12
338.0	0	14	0	15
339.0	0	12	0	9
340.0	0	13	0	10
341.0	0	7	0	7
342.0	0	10	0	8
343.0	0	11	0	7
344.0	0	9	0	11
345.0	0	10	0	10
346.0	0	15	0	15
347.0	0	14	0	14
348.0	0	9	0	9
349.0	0	11	0	11
350.0	0	11	0	18
351.0	0	11	0	10
352.0	0	15	0	9
353.0	0	6	0	9
354.0	0	8	0	12
355.0	0	9	0	13
356.0	0	11	0	3
357.0	0	10	0	6
358.0	0	7	0	10
359.0	0	10	0	16
360.0	0	10	0	9
361.0	0	12	0	7
362.0	0	14	0	8
363.0	0	4	0	12
364.0	0	8	0	10
365.0	0	10	0	7
366.0	0	8	0	6
367.0	0	9	0	8
368.0	0	8	0	5
369.0	0	10	0	12
370.0	0	10	0	6
371.0	0	11	0	14
372.0	0	8	0	7
373.0	0	8	0	6
374.0	0	4	0	10
375.0	0	6	0	8
376.0	0	8	0	6
377.0	0	11	0	5
378.0	0	6	0	7
379.0	0	8	0	7
380.0	0	6	0	5
381.0	0	4	0	5
382.0	0	11	0	4
383.0	0	5	0	11
384.0	0	6	0	11
385.0	0	9	0	4
386.0	0	4	0	4
387.0	0	4	0	6
388.0	0	7	0	7
389.0	0	10	0	11
390.0	0	6	0	8
391.0	0	7	0	10
392.0	0	8	0	3
393.0	0	4	0	7
394.0	0	9	0	6
395.0	0	5	0	8
396.0	0	8	0	7
397.0	0	7	0	6
398.0	0	9	0	6
399.0	0	6	0	3
400.0	0	7	0	4
401.0	0	5	0	4
402.0	0	5	0	6
403.0	0	5	0	7
404.0	0	6	0	9
405.0	0	8	0	5
406.0	0	6	0	9
407.0	0	4	0	8
408.0	0	11	0	3
409.0	0	5	0	4
410.0	0	2	0	7
411.0	0	9	0	8
412.0	0	6	0	4
413.0	0	3	0	3
414.0	0	7	0	3
415.0	0	5	0	6
416.0	0	5	0	5
417.0	0	6	0	7
418.0	0	8	0	7
419.0	0	4	0	9
420.0	0	5	0	4
421.0	0	4	0	4
422.0	0	7	0	8
423.0	0	1	0	4
424.0	0	8	0	5
425.0	0	7	0	2
426.0	0	7	0	5
427.0	0	2	0	3
428.0	0	4	0	5
429.0	0	1	0	7
430.0	0	5	0	6
431.0	0	7	0	6
432.0	0	5	0	3
433.0	0	9	0	5
434.0	0	3	0	2
435.0	0	5	0	4
436.0	0	3	0	3
437.0	0	2	0	3
438.0	0	5	0	5
439.0	0	4	0	3
440.0	0	2	0	7
441.0	0	10	0	4
442.0	0	4	0	3
443.0	0	1	0	5
444.0	0	5	0	6
445.0	0	7	0	2
446.0	0	4	0	3
447.0	0	6	0	7
448.0	0	4	0	2
449.0	0	3	0	6
450.0	0	3	0	5
451.0	0	3	0	5
452.0	0	7	0	4
453.0	0	4	0	3
454.0	0	4	0	3
455.0	0	6	0	8
456.0	0	4	0	5
457.0	0	5	0	2
458.0	0	2	0	6
459.0	0	3	0	6
460.0	0	5	0	7
461.0	0	5	0	5
462.0	0	8	0	6
463.0	0	4	0	4
464.0	0	3	0	4
465.0	0	5	0	7
466.0	0	4	0	4
467.0	0	10	0	4
468.0	0	3	0	3
469.0	0	2	0	3
470.0	0	5	0	5
471.0	0	7	0	5
472.0	0	5	0	7
473.0	0	4	0	4
474.0	0	3	0	4
475.0	0	2	0	3
476.0	0	6	0	3
477.0	0	5	0	3
478.0	0	2	0	5
479.0	0	6	0	8
480.0	0	5	0	4
481.0	0	7	0	3
482.0	0	2	0	5
483.0	0	6	0	5
484.0	0	3	0	3
485.0	0	5	0	8
486.0	0	3	0	4
487.0	0	2	0	3
488.0	0	5	0	2
489.0	0	6	0	6
490.0	0	4	0	4
491.0	0	4	0	1
492.0	0	4	0	2
493.0	0	4	0	6
494.0	0	4	0	4
495.0	0	4	0	1
496.0	0	6	0	10
497.0	0	3	0	2
498.0	0	3	0	6
499.0	0	4	0	2
500.0	0	2	0	5
501.0	0	4	0	4
502.0	0	6	0	6
503.0	0	4	0	1
504.0	0	6	0	4
505.0	0	2	0	3
506.0	0	3	0	3
507.0	0	5	0	4
508.0	0	0	0	5
509.0	0	7	0	2
510.0	0	4	0	2
511.0	0	3	0	3
512.0	0	3	0	3
513.0	0	2	0	5
514.0	0	7	0	3
515.0	0	4	0	4
516.0	0	4	0	2
517.0	0	3	0	3
518.0	0	2	0	0
519.0	0	4	0	2
520.0	0	3	0	3
521.0	0	3	0	3
522.0	0	2	0	1
523.0	0	1	0	0
