## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/Eva_submission/SRF_Eva_Cut_and_Tag/results/04_filtered/TEAD1-3_with_rg.bam] OUTPUT=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/Eva_submission/SRF_Eva_Cut_and_Tag/results/04_filtered/TEAD1-3_dedup.bam METRICS_FILE=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/Eva_submission/SRF_Eva_Cut_and_Tag/results/04_filtered/TEAD1-3_dedup_metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 03 15:09:11 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	22200473	0	104932988	0	20224638	492208	0.911	1975868

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000004	411169	0	441484
2.0	1.000017	201445	273114	200122
3.0	1.000017	141034	63453	137469
4.0	1.000017	108697	16584	105614
5.0	1.000017	88828	4944	86321
6.0	1.000017	75924	1667	74336
7.0	1.000017	66433	750	65299
8.0	1.000017	60099	331	58688
9.0	1.000017	54703	210	53789
10.0	1.000017	50457	121	49833
11.0	1.000017	46725	82	46080
12.0	1.000017	44089	62	43544
13.0	1.000017	41637	52	40983
14.0	1.000017	39857	29	39389
15.0	1.000017	37519	28	37096
16.0	1.000017	35638	13	34958
17.0	1.000017	33998	12	33860
18.0	1.000017	32292	17	31792
19.0	1.000017	30625	9	30161
20.0	1.000017	28705	7	28404
21.0	1.000017	27194	5	26845
22.0	1.000017	25825	4	25431
23.0	1.000017	24126	4	23597
24.0	1.000017	22584	6	22299
25.0	1.000017	20930	1	20477
26.0	1.000017	19576	1	19299
27.0	1.000017	18195	2	17867
28.0	1.000017	16707	1	16449
29.0	1.000017	15614	0	15270
30.0	1.000017	14138	2	13793
31.0	1.000017	12798	1	12598
32.0	1.000017	11902	1	11487
33.0	1.000017	10776	1	10353
34.0	1.000017	9612	1	9378
35.0	1.000017	8712	0	8334
36.0	1.000017	7932	0	7669
37.0	1.000017	7115	0	6846
38.0	1.000017	6343	0	6034
39.0	1.000017	5748	0	5491
40.0	1.000017	4996	1	4820
41.0	1.000017	4577	0	4301
42.0	1.000017	3987	0	3755
43.0	1.000017	3544	0	3402
44.0	1.000017	3197	0	3005
45.0	1.000017	2833	0	2613
46.0	1.000017	2444	0	2350
47.0	1.000017	2296	0	2241
48.0	1.000017	2067	0	1938
49.0	1.000017	1873	0	1751
50.0	1.000017	1653	0	1511
51.0	1.000017	1402	0	1286
52.0	1.000017	1286	0	1179
53.0	1.000017	1171	1	1104
54.0	1.000017	1030	0	1011
55.0	1.000017	966	0	857
56.0	1.000017	856	0	826
57.0	1.000017	821	0	738
58.0	1.000017	713	0	676
59.0	1.000017	678	0	645
60.0	1.000017	617	0	556
61.0	1.000017	581	1	545
62.0	1.000017	548	0	497
63.0	1.000017	485	0	460
64.0	1.000017	439	0	444
65.0	1.000017	458	0	444
66.0	1.000017	437	0	387
67.0	1.000017	379	0	378
68.0	1.000017	361	0	356
69.0	1.000017	334	0	291
70.0	1.000017	317	0	286
71.0	1.000017	290	0	320
72.0	1.000017	319	0	280
73.0	1.000017	275	0	255
74.0	1.000017	251	0	232
75.0	1.000017	252	0	257
76.0	1.000017	226	0	230
77.0	1.000017	245	0	245
78.0	1.000017	229	0	245
79.0	1.000017	221	0	218
80.0	1.000017	237	0	201
81.0	1.000017	213	0	206
82.0	1.000017	187	0	170
83.0	1.000017	188	0	190
84.0	1.000017	181	0	190
85.0	1.000017	193	0	165
86.0	1.000017	166	0	170
87.0	1.000017	186	0	178
88.0	1.000017	152	0	154
89.0	1.000017	185	0	164
90.0	1.000017	147	0	133
91.0	1.000017	135	0	152
92.0	1.000017	161	0	141
93.0	1.000017	132	0	150
94.0	1.000017	154	0	102
95.0	1.000017	117	0	126
96.0	1.000017	116	0	144
97.0	1.000017	130	0	118
98.0	1.000017	112	0	109
99.0	1.000017	118	0	105
100.0	1.000017	120	0	123
101.0	0	100	0	115
102.0	0	115	0	99
103.0	0	116	0	117
104.0	0	97	0	104
105.0	0	106	0	96
106.0	0	103	0	101
107.0	0	109	0	88
108.0	0	102	0	96
109.0	0	85	0	85
110.0	0	88	0	87
111.0	0	72	0	69
112.0	0	83	0	83
113.0	0	84	0	82
114.0	0	82	0	80
115.0	0	80	0	80
116.0	0	74	0	71
117.0	0	75	0	72
118.0	0	81	0	99
119.0	0	82	0	91
120.0	0	81	0	58
121.0	0	74	0	64
122.0	0	67	0	70
123.0	0	68	0	77
124.0	0	81	0	74
