## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/Eva_submission/SRF_Eva_Cut_and_Tag/results/04_filtered/TES-3_with_rg.bam] OUTPUT=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/Eva_submission/SRF_Eva_Cut_and_Tag/results/04_filtered/TES-3_dedup.bam METRICS_FILE=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/Eva_submission/SRF_Eva_Cut_and_Tag/results/04_filtered/TES-3_dedup_metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 03 15:03:01 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	53243879	0	31671634	0	31787860	1124432	0.597024	24301973

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.005997	11519816	0	11990678
2.0	1.118481	4779958	802962	4527811
3.0	1.131058	2321173	86513	2206076
4.0	1.132464	1190586	18347	1143539
5.0	1.132621	625902	6138	603177
6.0	1.132639	335694	2818	323469
7.0	1.132641	185944	1552	179182
8.0	1.132641	109680	1039	105827
9.0	1.132641	68594	671	66142
10.0	1.132641	46972	485	45340
11.0	1.132641	33828	331	33009
12.0	1.132641	25793	274	24786
13.0	1.132641	20296	206	19784
14.0	1.132641	16517	160	16005
15.0	1.132641	13865	118	13510
16.0	1.132641	11672	92	11422
17.0	1.132641	10066	94	9800
18.0	1.132641	8706	55	8482
19.0	1.132641	7747	53	7547
20.0	1.132641	6811	40	6770
21.0	1.132641	6192	40	5944
22.0	1.132641	5409	31	5259
23.0	1.132641	4804	26	4664
24.0	1.132641	4541	21	4461
25.0	1.132641	4094	19	4010
26.0	1.132641	3743	15	3622
27.0	1.132641	3421	19	3356
28.0	1.132641	3185	13	3078
29.0	1.132641	2979	17	2907
30.0	1.132641	2780	11	2751
31.0	1.132641	2533	6	2465
32.0	1.132641	2404	10	2372
33.0	1.132641	2289	7	2248
34.0	1.132641	2185	13	2119
35.0	1.132641	1948	2	1948
36.0	1.132641	1946	3	1878
37.0	1.132641	1799	5	1744
38.0	1.132641	1698	4	1614
39.0	1.132641	1600	6	1533
40.0	1.132641	1450	6	1464
41.0	1.132641	1417	1	1346
42.0	1.132641	1334	6	1282
43.0	1.132641	1276	4	1292
44.0	1.132641	1235	2	1209
45.0	1.132641	1193	6	1164
46.0	1.132641	1135	3	1111
47.0	1.132641	1065	1	1008
48.0	1.132641	1094	2	1081
49.0	1.132641	993	3	961
50.0	1.132641	942	6	899
51.0	1.132641	888	1	883
52.0	1.132641	895	0	871
53.0	1.132641	807	0	835
54.0	1.132641	848	1	841
55.0	1.132641	823	0	762
56.0	1.132641	746	2	725
57.0	1.132641	777	0	713
58.0	1.132641	710	2	699
59.0	1.132641	669	0	674
60.0	1.132641	684	0	646
61.0	1.132641	632	0	673
62.0	1.132641	634	2	620
63.0	1.132641	620	1	569
64.0	1.132641	528	0	548
65.0	1.132641	528	0	550
66.0	1.132641	539	1	532
67.0	1.132641	551	1	534
68.0	1.132641	489	0	490
69.0	1.132641	488	1	470
70.0	1.132641	488	2	459
71.0	1.132641	513	0	489
72.0	1.132641	457	0	416
73.0	1.132641	423	1	414
74.0	1.132641	434	0	436
75.0	1.132641	433	0	438
76.0	1.132641	406	1	439
77.0	1.132641	413	0	390
78.0	1.132641	407	0	408
79.0	1.132641	404	1	363
80.0	1.132641	390	0	374
81.0	1.132641	368	0	335
82.0	1.132641	352	0	348
83.0	1.132641	335	0	330
84.0	1.132641	314	0	318
