"Group","N","TES_meth_mean","TES_meth_median","GFP_meth_mean","GFP_meth_median","Diff_mean","Diff_median","Diff_SD","Wilcoxon_pvalue","Ttest_pvalue","Effect_size"
"TSS-Bound",6208,11.6264895513342,10.9603131097561,8.60765170221351,7.93559224390244,3.01883784912073,2.74778092682927,5.46544133999671,1.76481240063721e-48,1.11808749091237e-43,0.299780652926406
"NOT TSS-Bound",3156,12.0705211964821,11.571117902439,7.41007794497512,6.30926092682927,4.660443251507,4.75810824390244,5.33262639076931,1.76481240063721e-48,1.11808749091237e-43,0.299780652926406
