"Group","N","TES_meth_mean","GFP_meth_mean","Diff_mean","Diff_median","Wilcoxon_pvalue"
"Direct",2372,9.35702832411673,11.6980489049171,-2.34102058080039,-2.91418790243902,4.90087558025989e-225
"Indirect",5843,9.2933426090423,7.93549336504802,1.35784924399427,0.984703,4.90087558025989e-225
