"Category","N_enhancers","Percentage"
"TES_bound",15319,2.29464094463892
"TEAD1_bound",22836,3.42061626814899
"TES_only",7934,1.18843796949965
"TEAD1_only",15451,2.31441329300973
"Both_TES_TEAD1",7385,1.10620297513927
"Unbound",636829,95.3909457623514
"Total",667599,100
