"Analysis_Type","Collection","Direction","Term_ID","Term_Name","Enrichment_Score","pvalue","FDR","Gene_Count"
"GO_ORA","GO:BP","DOWN","GO:0051301","cell division",1.42498508334285,2.53028741904261e-15,9.66836140118385e-12,236
"GO_ORA","GO:BP","DOWN","GO:1903047","mitotic cell cycle process",1.36118902974512,7.40687062407281e-14,1.41510212449391e-10,277
"GO_ORA","GO:BP","DOWN","GO:0000278","mitotic cell cycle",1.32422475038402,2.14123315914319e-13,2.72725486585607e-10,319
"GO_ORA","GO:BP","DOWN","GO:0051276","chromosome organization",1.3581843608199,4.88896461793086e-11,4.67024777976027e-08,219
"GO_ORA","GO:BP","DOWN","GO:0010564","regulation of cell cycle process",1.31631480045659,1.39394509549385e-10,1.06526751508267e-07,257
"GO_ORA","GO:BP","DOWN","GO:0045786","negative regulation of cell cycle",1.417978640856,1.08102273752501e-09,6.88440796002773e-07,146
"GO_ORA","GO:BP","DOWN","GO:0044772","mitotic cell cycle phase transition",1.38666180758017,1.26385919753857e-09,6.89896073242859e-07,165
"GO_ORA","GO:BP","DOWN","GO:0044770","cell cycle phase transition",1.34732088381417,1.61383722002332e-09,7.70819619563771e-07,195
"GO_ORA","GO:BP","DOWN","GO:0006338","chromatin remodeling",1.26941517169271,2.57236826054468e-09,1.09212827903827e-06,291
"GO_ORA","GO:BP","DOWN","GO:0007346","regulation of mitotic cell cycle",1.34823065428048,4.37130319043325e-09,1.67029795592344e-06,184
"GO_ORA","GO:BP","DOWN","GO:0006259","DNA metabolic process",1.25475836365407,9.19838432137388e-09,3.19522823795093e-06,298
"GO_ORA","GO:BP","DOWN","GO:1901990","regulation of mitotic cell cycle phase transition",1.40095729013255,2.23634719623765e-08,7.12100028275674e-06,132
"GO_ORA","GO:BP","DOWN","GO:0034728","nucleosome organization",1.65298609840863,3.25134590948115e-08,9.09545293217659e-06,57
"GO_ORA","GO:BP","DOWN","GO:1901987","regulation of cell cycle phase transition",1.34784810236617,3.5112304479782e-08,9.09545293217659e-06,163
"GO_ORA","GO:BP","DOWN","GO:0006334","nucleosome assembly",1.6936793045664,3.78357702540274e-08,9.09545293217659e-06,51
"GO_ORA","GO:BP","DOWN","GO:0000819","sister chromatid segregation",1.48438286519682,3.80856431319791e-08,9.09545293217659e-06,93
"GO_ORA","GO:BP","DOWN","GO:0007059","chromosome segregation",1.35786358038513,4.48110939329899e-08,1.00720910821519e-05,153
"GO_ORA","GO:BP","DOWN","GO:0010948","negative regulation of cell cycle process",1.40385182998819,8.18883563487487e-08,1.72712423245217e-05,120
"GO_ORA","GO:BP","DOWN","GO:0071824","protein-DNA complex organization",1.46624524465434,8.5880419823035e-08,1.72712423245217e-05,94
"GO_ORA","GO:BP","DOWN","GO:0000075","cell cycle checkpoint signaling",1.48316549269939,1.56164931607121e-07,2.98357211438868e-05,85
"GO_ORA","GO:BP","DOWN","GO:0033044","regulation of chromosome organization",1.42868186235533,2.0180741265447e-07,3.67198450093096e-05,102
"GO_ORA","GO:BP","DOWN","GO:0140014","mitotic nuclear division",1.41225094350094,2.58414356408762e-07,4.45533015678915e-05,107
"GO_ORA","GO:BP","DOWN","GO:0033047","regulation of mitotic sister chromatid segregation",1.80160984848485,2.68178963983038e-07,4.45533015678915e-05,35
"GO_ORA","GO:BP","DOWN","GO:0098813","nuclear chromosome segregation",1.39284122740005,2.92441416413258e-07,4.65597518236898e-05,115
"GO_ORA","GO:BP","DOWN","GO:0000070","mitotic sister chromatid segregation",1.49567610062893,3.40747834491958e-07,5.20806163876129e-05,77
"GO_ORA","GO:BP","DOWN","GO:0051983","regulation of chromosome segregation",1.55029284441049,3.92844931412457e-07,5.7733890729847e-05,64
"GO_ORA","GO:BP","DOWN","GO:0065004","protein-DNA complex assembly",1.45635360574385,4.22955182306956e-07,5.985681527385e-05,87
"GO_ORA","GO:BP","DOWN","GO:2001251","negative regulation of chromosome organization",1.64718614718615,4.96090013743321e-07,6.76995018754984e-05,48
"GO_ORA","GO:BP","DOWN","GO:1901988","negative regulation of cell cycle phase transition",1.40385182998819,5.29583376994208e-07,6.97781364242822e-05,105
"GO_ORA","GO:BP","DOWN","GO:0051304","chromosome separation",1.67768959435626,5.67210360581037e-07,7.10223447619467e-05,44
"GO_ORA","GO:BP","DOWN","GO:1905818","regulation of chromosome separation",1.69563279857397,5.88584905856606e-07,7.10223447619467e-05,42
"GO_ORA","GO:BP","DOWN","GO:0033045","regulation of sister chromatid segregation",1.6047953272218,5.94787680651014e-07,7.10223447619467e-05,53
"GO_ORA","GO:BP","DOWN","GO:0033046","negative regulation of sister chromatid segregation",1.82367037724181,7.43782679254527e-07,7.15266438732251e-05,31
"GO_ORA","GO:BP","DOWN","GO:0033048","negative regulation of mitotic sister chromatid segregation",1.82367037724181,7.43782679254527e-07,7.15266438732251e-05,31
"GO_ORA","GO:BP","DOWN","GO:0045841","negative regulation of mitotic metaphase/anaphase transition",1.82367037724181,7.43782679254527e-07,7.15266438732251e-05,31
"GO_ORA","GO:BP","DOWN","GO:0051985","negative regulation of chromosome segregation",1.82367037724181,7.43782679254527e-07,7.15266438732251e-05,31
"GO_ORA","GO:BP","DOWN","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle",1.82367037724181,7.43782679254527e-07,7.15266438732251e-05,31
"GO_ORA","GO:BP","DOWN","GO:1905819","negative regulation of chromosome separation",1.82367037724181,7.43782679254527e-07,7.15266438732251e-05,31
"GO_ORA","GO:BP","DOWN","GO:2000816","negative regulation of mitotic sister chromatid separation",1.82367037724181,7.43782679254527e-07,7.15266438732251e-05,31
"GO_ORA","GO:BP","DOWN","GO:0007091","metaphase/anaphase transition of mitotic cell cycle",1.6272605083089,7.48763765064065e-07,7.15266438732251e-05,49
"GO_ORA","GO:BP","DOWN","GO:0006281","DNA repair",1.27589418777943,1.09451955843484e-06,0.000102005288757856,189
"GO_ORA","GO:BP","DOWN","GO:0000280","nuclear division",1.31847136781347,1.30765131152013e-06,0.000118966773454087,146
"GO_ORA","GO:BP","DOWN","GO:0007088","regulation of mitotic nuclear division",1.55092202170124,1.35167916594151e-06,0.00012011249381561,58
"GO_ORA","GO:BP","DOWN","GO:0045839","negative regulation of mitotic nuclear division",1.75013528138528,1.72759592754679e-06,0.000148574698621083,34
"GO_ORA","GO:BP","DOWN","GO:0044784","metaphase/anaphase transition of cell cycle",1.60143097643098,1.78334249696101e-06,0.000148574698621083,49
"GO_ORA","GO:BP","DOWN","GO:0031507","heterochromatin formation",1.53772124499973,1.78862653711882e-06,0.000148574698621083,59
"GO_ORA","GO:BP","DOWN","GO:0045814","negative regulation of gene expression, epigenetic",1.48947683522152,2.12364093370288e-06,0.000172649867622429,68
"GO_ORA","GO:BP","DOWN","GO:0007094","mitotic spindle assembly checkpoint signaling",1.80940902531812,2.50268198034373e-06,0.000187507442490149,29
"GO_ORA","GO:BP","DOWN","GO:0031577","spindle checkpoint signaling",1.80940902531812,2.50268198034373e-06,0.000187507442490149,29
"GO_ORA","GO:BP","DOWN","GO:0071173","spindle assembly checkpoint signaling",1.80940902531812,2.50268198034373e-06,0.000187507442490149,29
"GO_ORA","GO:BP","DOWN","GO:0071174","mitotic spindle checkpoint signaling",1.80940902531812,2.50268198034373e-06,0.000187507442490149,29
"GO_ORA","GO:BP","DOWN","GO:0045787","positive regulation of cell cycle",1.3367217424809,2.93952429424285e-06,0.000216001481540517,124
"GO_ORA","GO:BP","DOWN","GO:0010965","regulation of mitotic sister chromatid separation",1.7158189033189,3.109203027906e-06,0.000224159026639499,35
"GO_ORA","GO:BP","DOWN","GO:0030071","regulation of mitotic metaphase/anaphase transition",1.60530853327464,3.29398604727677e-06,0.000233083223228356,46
"GO_ORA","GO:BP","DOWN","GO:1901992","positive regulation of mitotic cell cycle phase transition",1.61777210884354,3.71848550725959e-06,0.000258336887872771,44
"GO_ORA","GO:BP","DOWN","GO:0007093","mitotic cell cycle checkpoint signaling",1.47709627329193,4.82087317026558e-06,0.000323172107258801,66
