"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE",19,-0.925385406004682,-1.616247900947,0.000419657845702121,0.0910657525173604,0.087907275047076,1057,"tags=58%, list=5%, signal=55%","83540/57405/79980/3619/11130/10403/9212/147841/57082/55143/332"
"KEGG_MEDICUS_VARIANT_IGH_MMSET_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION","KEGG_MEDICUS_VARIANT_IGH_MMSET_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION",16,-0.936912855598085,-1.59786354989719,0.00103177680617311,0.111947783469782,0.108065044436025,339,"tags=50%, list=1%, signal=49%","653604/8350/8354/8357/8355/8968/8358/8352"
"KEGG_MEDICUS_REFERENCE_TRANSCRIPTIONAL_ACTIVATION_BY_ACETYLATION_OF_H3K27","KEGG_MEDICUS_REFERENCE_TRANSCRIPTIONAL_ACTIVATION_BY_ACETYLATION_OF_H3K27",15,-0.921024744251904,-1.55551376395173,0.0031081302142974,0.218244457759137,0.210674979840254,339,"tags=40%, list=1%, signal=39%","84333/10238/26053/8350/6045/8358"
"KEGG_MEDICUS_REFERENCE_GLYCOLYSIS","KEGG_MEDICUS_REFERENCE_GLYCOLYSIS",23,-0.863027927101675,-1.54441089329966,0.00672885762348983,0.218244457759137,0.210674979840254,2113,"tags=43%, list=9%, signal=39%","5315/5211/226/5223/2023/2597/2026/2821/5214/5230"
"KEGG_MEDICUS_REFERENCE_ITGA_B_RHOG_RAC_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_ITGA_B_RHOG_RAC_SIGNALING_PATHWAY",27,-0.845216520659844,-1.54295192277719,0.00704014379868185,0.218244457759137,0.210674979840254,1054,"tags=30%, list=5%, signal=28%","3673/3676/3675/1793/2335/3691/3696/3690"
"KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY",29,-0.837924343728559,-1.54230889060925,0.00654080570833953,0.218244457759137,0.210674979840254,1054,"tags=34%, list=5%, signal=33%","3673/60/3676/81/3675/87/2335/3691/3696/3690"
"KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_RAC_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_RAC_SIGNALING_PATHWAY",29,-0.837921011427493,-1.54230275707512,0.00654080570833953,0.218244457759137,0.210674979840254,1054,"tags=28%, list=5%, signal=26%","3673/3676/3675/1793/2335/3691/3696/3690"
"KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL","KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL",21,0.838134291660892,1.66986505548994,0.00927226749086822,0.251510255689801,0.242787004037207,2333,"tags=38%, list=10%, signal=34%","8913/27092/8912/777/59284/773/774/8911"
"KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGAP_RHOA_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGAP_RHOA_SIGNALING_PATHWAY",22,-0.856069255567806,-1.52237495425789,0.0119066027524354,0.260259319286872,0.251232619636612,1054,"tags=32%, list=5%, signal=30%","3673/3676/3675/2335/3691/3696/3690"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR",16,-0.887827060578749,-1.51414989156655,0.0119935170178282,0.260259319286872,0.251232619636612,1417,"tags=44%, list=6%, signal=41%","55215/83990/78995/580/672/2177/675"
