"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"TBK1.DF_DN","TBK1.DF_DN",281,-0.692112099048683,-1.5712767140335,1.57260119477299e-05,0.0029407642342255,0.00251616191163679,2332,"tags=28%, list=10%, signal=25%","7443/8202/8439/55279/622/7094/6256/163486/79717/8575/26298/55159/3987/4155/9360/8050/55038/949/8502/54908/114876/10640/84726/23137/1287/64864/595/51141/57698/4646/4507/9169/8436/3673/28996/10020/10165/55893/9928/79980/22936/29110/56937/84864/51133/55601/10142/55500/23376/4750/54680/8609/8204/51449/1282/59339/59338/11130/55320/26064/1525/5270/4001/80143/55364/22943/23468/11127/8777/3008/55214/1021/1290/3006/8364/10512/3007/7057"
"ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_DN",151,-0.744562987085495,-1.62405639500471,5.56639152694747e-05,0.00520457607769589,0.00445311322155798,1518,"tags=25%, list=7%, signal=24%","20/84617/2191/3371/960/4015/602/306/4071/8436/5087/79026/2247/2950/301/7077/26118/81930/11135/1282/558/2997/284119/4016/1284/5376/51313/3486/4054/151887/1278/857/1465/800/3491/55742/1490/1301"
"CORDENONSI_YAP_CONSERVED_SIGNATURE","CORDENONSI_YAP_CONSERVED_SIGNATURE",55,-0.83398033592949,-1.65222442103136,0.000128166973636222,0.00798907468999119,0.00683557192726519,1055,"tags=45%, list=5%, signal=43%","8436/1063/2247/23576/3161/2013/1894/9353/11167/558/51232/5376/7083/991/4082/80114/332/79801/10397/7153/1601/3491/1490/7057/51421"
"VEGF_A_UP.V1_DN","VEGF_A_UP.V1_DN",183,-0.721662674141714,-1.59659922307422,0.000175422797282615,0.00820101577296227,0.00701691189130462,2065,"tags=33%, list=9%, signal=30%","1033/7443/8202/9852/10926/10762/687/11177/7103/1719/9360/4173/11051/7090/1164/8318/8754/1058/5255/7045/7025/34/902/9169/3673/390/9133/2627/10733/3835/4323/8975/3161/7112/444/23376/1062/9156/701/699/7424/10615/4001/4131/3569/22943/26278/8829/4683/10403/9493/8341/7272/891/9787/332/6241/23362/9411/3690"
"SIRNA_EIF4GI_DN","SIRNA_EIF4GI_DN",88,-0.78790867495334,-1.63711732929133,0.000311156390727873,0.0116372490132224,0.00995700450329193,1101,"tags=19%, list=5%, signal=18%","6747/990/6347/63901/4615/1317/8767/4734/11167/114897/8350/5376/4017/26128/79801/5915/1009"
"BCAT_BILD_ET_AL_DN","BCAT_BILD_ET_AL_DN",46,-0.821169835656444,-1.59179626890546,0.00211388586290478,0.0658827760605324,0.0563702896774609,1536,"tags=30%, list=7%, signal=28%","6426/6464/7128/57688/100132406/5744/23167/90627/5591/9462/3556/6653/114884/9411"
"PRC2_EZH2_UP.V1_DN","PRC2_EZH2_UP.V1_DN",172,-0.676272104927855,-1.48890266971966,0.00300265619586557,0.0749627763142824,0.0641392738517925,1765,"tags=22%, list=8%, signal=20%","7164/2146/8318/6502/25903/79682/3162/22794/79968/81620/8438/1063/22936/993/10460/55388/55635/3161/9760/3037/56992/23213/699/55320/54797/1894/4001/7272/9787/3070/4605/2355/9212/2113/55355/22871/4781/8968"
"EGFR_UP.V1_DN","EGFR_UP.V1_DN",187,-0.663842261974964,-1.47109009057578,0.00320696369258962,0.0749627763142824,0.0641392738517925,2338,"tags=31%, list=10%, signal=28%","23705/9315/3397/622/57396/55729/27295/51071/80303/10874/55159/288/2146/6744/323/4698/4886/22836/79718/8969/79682/55120/90806/51427/84869/2037/22824/4147/83990/7594/51375/10276/50865/55635/55601/4052/8204/3983/51449/79733/5954/8365/11201/54892/51514/2674/8339/23089/8345/6711/8777/8357/8346/3012/58155/8343/3667/3006/857"
"E2F1_UP.V1_DN","E2F1_UP.V1_DN",179,-0.658386117404528,-1.45369118063137,0.00425678785089738,0.0884465920130899,0.0756762284603978,2106,"tags=23%, list=9%, signal=21%","283131/2152/51/4891/6484/10484/5530/115825/4609/323/104/860/4853/10509/355/8436/1435/6347/84947/1374/6925/5310/1545/301/3983/22822/64332/3554/1397/10769/3606/26137/2674/55076/3572/11346/6769/84962/1601/1462/1301"
"LEF1_UP.V1_DN","LEF1_UP.V1_DN",169,-0.656957324719489,-1.44444111555116,0.0063701644660644,0.0999274781480209,0.0854994465437612,2108,"tags=24%, list=9%, signal=22%","1612/80303/54930/23586/57088/26298/7103/2947/54682/288/202/64762/4126/2920/10924/55314/54502/5308/4071/7915/4208/23708/7098/2627/8507/4940/1545/10481/847/56034/8549/5627/3606/5352/7168/83989/64759/6653/8284/22998/1490"
