"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",198,-0.765788391333585,-1.70048634826178,2.87207497485419e-07,7.18018743713547e-06,5.44182626814478e-06,1851,"tags=38%, list=8%, signal=36%","10111/4609/10274/4173/11051/7913/29089/2146/5982/1854/1164/3014/23047/6426/23649/6470/83461/1163/29127/4175/7283/11004/994/5425/1111/3148/9833/203068/253714/4673/57405/9133/10733/3835/10635/5901/993/10460/10492/55635/3161/3149/9918/7112/1062/580/983/6790/701/672/79733/9837/10615/4001/5347/3838/5631/4683/9700/7083/991/9787/81624/3070/4605/23468/9212/5591/147841/55143/332/675/7153/6241/146909/4288"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",199,-0.765664895290245,-1.70006296650916,2.22150972188881e-07,7.18018743713547e-06,5.44182626814478e-06,2452,"tags=48%, list=11%, signal=43%","26271/3184/1033/51203/91746/4212/9232/10926/6558/3192/10762/55872/10036/5887/5371/4609/10274/3226/3091/7090/2146/7468/6541/1164/3014/7027/8318/23047/8140/6426/23649/1058/1163/29127/4088/51659/4175/11004/595/994/4853/4502/94239/1111/602/10293/8438/10432/990/1063/9133/6421/10733/3835/9585/993/4751/10460/10492/3161/3149/81539/7112/3619/1062/580/56992/983/9156/6790/699/890/4001/5347/10024/3838/9700/1870/10403/9493/7272/991/11065/10721/4605/9212/9462/4082/22974/57082/332/675/1756/7153/4288"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",188,-0.765065383373963,-1.6923232977026,1.14961205211843e-06,1.91602008686405e-05,1.45214153951802e-05,1363,"tags=36%, list=6%, signal=34%","2191/7128/3371/10979/7045/1004/960/4853/2192/4015/6586/355/4147/3673/5744/7070/627/5806/3956/2247/5217/6422/667/56937/4323/1000/4907/6385/1282/8038/5817/7424/2026/5270/9353/3569/11167/22943/4016/1284/10486/5376/5352/7168/8325/5396/4017/3486/1289/7422/2335/1278/4837/1290/7412/2200/7431/1303/800/1601/3491/1009/1462/25890/3690/1490/1301/7057"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",142,-0.785899190629712,-1.70630006040389,1.84145707957387e-06,2.30182134946734e-05,1.74453828591209e-05,1653,"tags=34%, list=7%, signal=32%","6256/8476/2152/10611/55109/7436/4609/6541/6717/323/29970/92/1739/4088/4853/22828/5293/390/627/23576/9975/7035/26037/594/4052/3037/50937/10370/7048/5737/8871/4131/8829/10486/5376/23345/4233/1278/4493/1290/3667/2202/4781/857/1601/3491/3690/1301/3488"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",195,-0.730427763221546,-1.62056253070434,1.26105000177636e-05,0.000126105000177636,9.55743159241032e-05,1598,"tags=30%, list=7%, signal=28%","9672/7436/226/55139/6662/2582/10327/1058/5165/8614/7045/11015/960/2683/2539/23036/10020/10165/6781/5223/5033/2673/55635/3161/2239/4907/8277/983/6676/26355/10370/2023/9123/5066/6790/8497/23443/54541/2026/205/8974/2997/112399/5631/1956/5836/5352/1738/3486/1289/501/7422/5214/10112/4233/5230/7039/1462"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",192,-0.726726275206107,-1.61081849147107,2.06057776382214e-05,0.000171714813651845,0.000130141753504556,1711,"tags=34%, list=7%, signal=32%","3423/55139/1837/7163/949/5507/694/25819/5165/3162/8614/7128/7045/1942/11015/54206/4015/665/4502/23036/4627/467/4214/6781/5033/6533/2239/26118/8609/8277/6385/26355/10370/2023/5066/8497/2597/54541/2026/205/3569/8974/2997/1956/284119/55076/2821/3486/1289/7422/5214/2355/5236/5230/2113/5209/3098/5163/1356/4493/10397/857/2632/3491/1490"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",199,-0.712635582449401,-1.58231802161918,7.5195084718457e-05,0.000537107747988979,0.000407071135317963,2697,"tags=40%, list=12%, signal=35%","10163/9735/613/996/64411/151987/26271/8440/51203/4628/5116/64857/2317/7414/8476/5829/274/10611/5921/9874/6624/6709/324/9113/6453/29127/23012/1739/1794/11004/4853/2037/10426/80119/10801/10276/4627/1063/9133/79658/3835/9585/667/4751/1778/8470/55835/81/23022/3619/1062/23580/11135/56992/983/55704/6790/699/1894/4001/5347/5311/9700/54443/10403/9493/7272/394/11346/9787/9462/6711/4082/22974/332/675/7153/4281/9411"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",172,-0.687244017890601,-1.51139785604071,0.00272262885012507,0.0170164303132817,0.0128966629742766,2554,"tags=27%, list=11%, signal=24%","4790/133/728/3759/3566/2811/5610/3976/2152/4891/2014/5027/4609/6892/5734/3091/3600/6541/3659/6717/10135/92/6376/3575/1435/6098/6347/7098/1906/1317/4323/8767/5142/3037/4693/3554/5817/3606/3569/558/9180/5970/4233/6869/131566/3696/3690"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",200,-0.652433369236835,-1.44962421939147,0.00363967242948135,0.0202204023860075,0.0153249365451846,1976,"tags=22%, list=9%, signal=21%","5211/6472/7436/226/1719/4173/871/26227/8140/10135/7283/2539/6510/6781/29110/5033/993/6533/2058/29968/2023/5860/79071/6790/2597/699/54541/3992/205/5347/134429/112399/5352/6319/2821/116496/586/5236/9415/5230/23657/5163/6241/2632/3488"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.639688263184724,-1.42130620979385,0.00750682438580528,0.0375341219290264,0.0284469134619989,4093,"tags=25%, list=18%, signal=21%","9221/10399/5250/4999/10236/6240/7531/1964/220988/6434/1537/1478/3178/6432/3475/4085/6637/10155/28973/4176/3184/6428/3376/6634/3192/5887/5682/4609/4173/7913/1854/7027/8318/6426/11260/1017/4175/5425/10907/6146/4673/790/5901/7298/10492/2058/890/3838/991/5230"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",185,0.493060593132623,1.353436825028,0.0159211523881729,0.0723688744916948,0.0548479890884424,1638,"tags=25%, list=7%, signal=23%","3866/3856/6387/1717/3487/9145/6658/3860/7074/10202/5420/64798/7052/79875/107/56603/2353/2810/23596/25800/7466/3717/8839/1836/9846/56944/4137/25976/3880/4299/65055/9620/9687/1997/64284/2289/9862/23223/84187/3280/9467/4582/3875/4277/5366/55191"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",186,-0.62642611160914,-1.3840149702342,0.0179578680787383,0.0748244503280764,0.0567090570907527,1969,"tags=24%, list=9%, signal=22%","5921/9672/7106/51208/23114/6624/1002/649/8754/347902/7533/8910/1739/6464/7045/7283/4771/1004/6376/2037/2683/3673/7070/4627/60/5310/9459/81/91624/3675/87/25945/10290/1265/9353/1956/2770/3667/7412/2200/3691/55742/1009/1462"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",113,-0.651848328169925,-1.38621731938013,0.0320197044334975,0.123152709359606,0.0933367902514908,1490,"tags=16%, list=7%, signal=15%","649/8754/9615/11098/3673/5550/4323/301/8609/1397/3426/5627/2335/2/2200/1465/3690/7057"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",73,-0.680432404250281,-1.38646960442874,0.0456030314909186,0.162867969610424,0.1234367769679,1804,"tags=22%, list=8%, signal=20%","1326/3659/3162/960/355/1435/4615/3676/56034/3554/6772/3569/3572/9180/2/3690"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",188,-0.575191182127269,-1.27232189470436,0.0738316683890228,0.246105561296743,0.186522109614374,2576,"tags=28%, list=11%, signal=25%","57169/6774/4790/9021/3566/5610/8202/103/219285/834/10797/84166/23586/5371/116071/3455/6892/3091/3600/10581/3659/6717/694/51015/64761/10135/85441/7128/9830/5359/4502/355/317649/6648/6347/4615/4940/8767/55601/5142/4600/55016/25939/115361/6772/3569/837/5214/7412/26524/84159/94240"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",54,-0.673953992584804,-1.33262194926861,0.0883910386965377,0.27622199592668,0.209347196912852,1648,"tags=30%, list=7%, signal=28%","57154/7046/6497/1499/3397/324/4088/9612/2022/6498/28996/11031/56937/7071/6711/7057"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",30,-0.733537115278674,-1.34589165278596,0.0945865556216538,0.278195751828393,0.210843096122572,832,"tags=20%, list=4%, signal=19%","6781/11167/8829/7422/1290/1462"
