"Collection","ID","Description","NES","pvalue","p.adjust","setSize"
"Hallmark","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",-1.70006296650916,2.22150972188881e-07,7.18018743713547e-06,199
"Hallmark","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",-1.70048634826178,2.87207497485419e-07,7.18018743713547e-06,198
"Hallmark","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.6923232977026,1.14961205211843e-06,1.91602008686405e-05,188
"Hallmark","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",-1.70630006040389,1.84145707957387e-06,2.30182134946734e-05,142
"Hallmark","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",-1.62056253070434,1.26105000177636e-05,0.000126105000177636,195
"Hallmark","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",-1.61081849147107,2.06057776382214e-05,0.000171714813651845,192
"Hallmark","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",-1.58231802161918,7.5195084718457e-05,0.000537107747988979,199
"Hallmark","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",-1.51139785604071,0.00272262885012507,0.0170164303132817,172
"Hallmark","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",-1.44962421939147,0.00363967242948135,0.0202204023860075,200
"Hallmark","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",-1.42130620979385,0.00750682438580528,0.0375341219290264,200
"Hallmark","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.353436825028,0.0159211523881729,0.0723688744916948,185
"Hallmark","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",-1.3840149702342,0.0179578680787383,0.0748244503280764,186
"Hallmark","HALLMARK_COAGULATION","HALLMARK_COAGULATION",-1.38621731938013,0.0320197044334975,0.123152709359606,113
"Hallmark","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",-1.38646960442874,0.0456030314909186,0.162867969610424,73
"Hallmark","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",-1.27232189470436,0.0738316683890228,0.246105561296743,188
"GO:BP","GOBP_MITOTIC_NUCLEAR_DIVISION","GOBP_MITOTIC_NUCLEAR_DIVISION",-1.74947580570224,1.5882124397949e-09,6.27026271231027e-06,276
"GO:BP","GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION","GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION",-1.75803016991022,4.75517511596655e-09,6.88535647061172e-06,225
"GO:BP","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",-1.77270536707063,5.23203379225814e-09,6.88535647061172e-06,192
"GO:BP","GOBP_NUCLEOSOME_ORGANIZATION","GOBP_NUCLEOSOME_ORGANIZATION",-1.79539549739433,1.40885711262247e-08,1.39054197015838e-05,116
"GO:BP","GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION",-1.59863542230448,2.55355218255017e-07,0.000171548197257443,417
"GO:BP","GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION",-1.69157697927498,2.60711545983956e-07,0.000171548197257443,232
"GO:BP","GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE","GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE",-1.6259980075973,3.89791574340893e-07,0.000219842447928264,312
"GO:BP","GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",-1.59373715796999,7.26684808394061e-07,0.000319273628722263,415
"GO:BP","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE",-1.56660297262663,7.27827421099384e-07,0.000319273628722263,477
"GO:BP","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION",-1.63498615134625,1.004351179406e-06,0.000396517845629488,310
"GO:BP","GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS","GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS",-1.68654343420041,1.67768500404664e-06,0.000602136399634193,167
"GO:BP","GOBP_SPINDLE_ORGANIZATION","GOBP_SPINDLE_ORGANIZATION",-1.66902278322685,1.92306865087028e-06,0.000632689586136321,204
"GO:BP","GOBP_MITOTIC_SPINDLE_ORGANIZATION","GOBP_MITOTIC_SPINDLE_ORGANIZATION",-1.70806969713135,2.80807354116888e-06,0.000852790333887289,136
"GO:BP","GOBP_OSTEOBLAST_DIFFERENTIATION","GOBP_OSTEOBLAST_DIFFERENTIATION",-1.63997031027416,3.76422092465751e-06,0.00106151030075342,228
"GO:BP","GOBP_CHROMOSOME_SEPARATION","GOBP_CHROMOSOME_SEPARATION",-1.73280250958627,4.46466436832827e-06,0.00110384155908119,81
"GO:BP","GOBP_SKELETAL_SYSTEM_DEVELOPMENT","GOBP_SKELETAL_SYSTEM_DEVELOPMENT",-1.53089238950116,4.47352202261882e-06,0.00110384155908119,487
"GO:BP","GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS","GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS",-1.62278624863831,5.38212078493167e-06,0.00124991840346531,244
"GO:BP","GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION","GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION",-1.69867641728883,5.77111875826738e-06,0.00126579871431331,116
"GO:BP","GOBP_ORGANELLE_FISSION","GOBP_ORGANELLE_FISSION",-1.51197996967365,6.49173768462397e-06,0.00134891475678397,473
"GO:BP","GOBP_OSSIFICATION","GOBP_OSSIFICATION",-1.55459704458761,7.0812885016126e-06,0.00139784635021833,398
"GO:BP","GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",-1.70536451457919,8.67677554682347e-06,0.00155799041055937,89
"GO:BP","GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION","GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION",-1.61502106495278,8.68181079845644e-06,0.00155799041055937,282
"GO:BP","GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE","GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE",-1.69552875354227,9.31059890078109e-06,0.0015674133005419,121
"GO:BP","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION",-1.52627667826371,9.5283483315617e-06,0.0015674133005419,420
"GO:BP","GOBP_TELOMERE_ORGANIZATION","GOBP_TELOMERE_ORGANIZATION",-1.63799716498055,1.74211173212876e-05,0.00265147012998916,184
"GO:BP","GOBP_REGULATION_OF_NUCLEAR_DIVISION","GOBP_REGULATION_OF_NUCLEAR_DIVISION",-1.66559784114146,1.77432096226897e-05,0.00265147012998916,139
"GO:BP","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",-1.55230471496029,1.81331543844244e-05,0.00265147012998916,317
"GO:BP","GOBP_CELL_SUBSTRATE_ADHESION","GOBP_CELL_SUBSTRATE_ADHESION",-1.55374217587693,2.49703392283153e-05,0.00348559518682127,329
"GO:BP","GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION","GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION",-1.69560661107964,2.56034094270053e-05,0.00348559518682127,63
"GO:BP","GOBP_CHROMOSOME_CONDENSATION","GOBP_CHROMOSOME_CONDENSATION",-1.70650585092308,3.42445388418524e-05,0.00439915162183775,40
"GO:BP","GOBP_NEGATIVE_REGULATION_OF_DNA_RECOMBINATION","GOBP_NEGATIVE_REGULATION_OF_DNA_RECOMBINATION",-1.69797626264815,3.4542477273802e-05,0.00439915162183775,47
"GO:BP","GOBP_METAPHASE_CHROMOSOME_ALIGNMENT","GOBP_METAPHASE_CHROMOSOME_ALIGNMENT",-1.67451609149199,3.85560530516473e-05,0.00475685304524699,104
"GO:BP","GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS","GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS",-1.63048904954644,5.37534567420751e-05,0.00643086809750644,164
"GO:BP","GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE","GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE",-1.68981621677145,7.20893395940499e-05,0.00837084449168556,55
"GO:BP","GOBP_PROTEIN_LOCALIZATION_TO_CHROMATIN","GOBP_PROTEIN_LOCALIZATION_TO_CHROMATIN",-1.66535397654087,7.49364845333113e-05,0.00845283545535751,60
