"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_MITOTIC_NUCLEAR_DIVISION","GOBP_MITOTIC_NUCLEAR_DIVISION",276,-0.771510236504947,-1.74947580570224,1.5882124397949e-09,6.27026271231027e-06,5.7660470577396e-06,1702,"tags=25%, list=7%, signal=23%","144165/440145/324/54908/29127/79866/7283/11004/55023/2491/9088/81620/1111/90417/83540/1063/57405/83903/80346/9928/10040/3835/1906/9585/5901/4751/23363/9918/3619/81930/1062/221150/56992/983/157313/11130/6790/701/699/348235/995/29128/10615/113130/5347/54892/9700/54443/10403/9493/7272/991/891/11065/9787/4605/64151/9212/9750/3833/22974/147841/57082/55143/332/4781/146909/7039/4288"
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",192,-0.799037946676349,-1.77270536707063,5.23203379225814e-09,6.88535647061172e-06,6.33167878929766e-06,1777,"tags=28%, list=8%, signal=26%","10274/144165/440145/324/54908/29127/7283/11004/2491/81620/90417/83540/1063/57405/83903/9928/3835/5901/4751/9918/3619/81930/1062/221150/56992/983/11130/701/699/348235/29128/10615/113130/5347/54892/9700/10403/9493/7272/991/891/11065/9787/4605/64151/9212/9750/3833/22974/147841/57082/55143/332/146909"
"GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION","GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION",225,-0.783196775277193,-1.75803016991022,4.75517511596655e-09,6.88535647061172e-06,6.33167878929766e-06,2036,"tags=26%, list=9%, signal=24%","55723/7259/5925/7067/10036/11177/8349/4609/3014/6662/8318/1058/266812/8971/2491/653604/81620/3148/8294/4673/1063/9412/6925/10910/257218/8348/1062/121504/64332/54797/9014/8365/8359/8350/8339/8341/3018/8354/8340/9787/8345/3008/8357/8366/55355/8346/8343/8360/3006/8364/8355/8367/3009/3007/8968/8358/3005/8352"
"GOBP_NUCLEOSOME_ORGANIZATION","GOBP_NUCLEOSOME_ORGANIZATION",116,-0.845476977204921,-1.79539549739433,1.40885711262247e-08,1.39054197015838e-05,1.27872320564077e-05,1308,"tags=29%, list=6%, signal=28%","266812/8971/653604/3148/8294/4673/257218/8348/121504/8365/8359/8350/8339/8341/3018/8354/8340/8345/3008/8357/8366/8346/8343/8360/3006/8364/8355/8367/3009/3007/8968/8358/3005/8352"
"GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION",232,-0.752495097262542,-1.69157697927498,2.60711545983956e-07,0.000171548197257443,0.000157753354754152,1777,"tags=27%, list=8%, signal=25%","10274/144165/440145/324/9113/54908/29127/5977/7283/11004/2491/81620/90417/83540/990/1063/57405/10783/83903/9928/60/64682/3835/5901/4751/10460/9918/3619/81930/1062/221150/56992/983/11130/701/699/348235/29128/10615/113130/5347/54892/9700/10403/9493/7272/991/891/11065/9787/4605/64151/9212/9750/3833/22974/147841/57082/55143/332/7153/146909"
"GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION",417,-0.691148014659294,-1.59863542230448,2.55355218255017e-07,0.000171548197257443,0.000157753354754152,2694,"tags=29%, list=12%, signal=26%","9031/55920/26054/9735/387103/996/79019/9319/79598/8467/54820/472/26271/1060/10982/91687/1654/51203/55274/7155/9232/157570/8780/3192/5925/7917/54930/55781/9874/10274/8239/144165/440145/324/9113/54908/23137/93323/29127/79682/27030/5977/7283/11004/338657/2491/5359/81620/90417/203068/10426/83990/83540/990/2068/1063/57405/10783/9133/83903/29899/9928/79980/60/64682/151246/151648/3835/5901/4751/1778/10460/55835/9918/81610/56916/3619/81930/1062/221150/56992/983/157313/11130/6790/701/672/699/348235/29128/1894/10615/113130/5347/54892/9700/2177/10403/9493/7272/991/891/11065/9787/81624/4605/64151/9212/9750/3833/22974/147841/57082/55143/332/55355/259266/7153/146909/4288"
"GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE","GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE",312,-0.712178191147259,-1.6259980075973,3.89791574340893e-07,0.000219842447928264,0.000202164081188232,1716,"tags=23%, list=8%, signal=22%","153241/4824/83695/2146/25886/7027/8502/23137/29127/5962/5914/2237/595/994/55023/6461/5359/1111/5087/990/9236/6421/29899/9928/1813/8444/10733/1906/9585/10635/993/1778/55835/9918/81610/301/1845/3619/221150/80174/983/10370/55719/6790/79733/699/995/85459/1894/10615/113130/54892/51514/1956/9700/10403/9493/991/144455/891/11065/9787/23236/64151/9212/57082/55143/332/675/6241/64848/7039/4921"
"GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",415,-0.688819221604838,-1.59373715796999,7.26684808394061e-07,0.000319273628722263,0.0002935996228505,1895,"tags=24%, list=8%, signal=23%","5530/55781/55159/10111/4609/678/9577/7164/2146/324/1164/9113/7027/10983/54908/6502/23137/5218/84930/1739/1017/5977/5962/7023/595/994/91607/9088/1111/9833/902/83540/5087/990/2068/1063/57405/6347/10783/9133/83903/79960/3275/9928/60/64682/5310/25959/993/10460/55835/301/3619/90381/1062/221150/580/79621/80174/983/11130/6790/701/672/699/10769/995/890/113130/5347/51514/1956/5311/4683/9700/54443/10403/7272/991/144455/891/11065/9787/23236/9212/5591/51339/586/2305/147841/57082/55143/332/3400/1021/26524/6241/4781/128239/4921"
"GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE",477,-0.673965200372102,-1.56660297262663,7.27827421099384e-07,0.000319273628722263,0.0002935996228505,2392,"tags=26%, list=10%, signal=23%","1654/7508/7976/54465/685/51203/1499/55274/8450/7161/4212/146691/119504/9820/9656/3192/5925/27133/5371/55781/55159/23331/10111/678/9577/4824/2146/324/1164/7027/54908/1163/84930/79866/1739/1017/5977/90806/5962/7023/595/994/55023/91607/6461/9088/1111/902/83540/5087/990/2068/1063/57405/6347/10783/65975/83903/79960/3275/9928/60/64682/10040/1906/9585/23170/5310/25959/993/4751/23363/55835/301/1845/3619/90381/1062/221150/580/79621/80174/983/157313/11130/6790/701/672/699/995/113130/5347/51514/1956/5311/4683/9700/54443/2177/10403/7272/991/144455/891/11065/9787/23236/9212/5591/51339/2305/147841/57082/55143/332/675/1021/6241/64848/7039/4288/4921"
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION",310,-0.716396248697625,-1.63498615134625,1.004351179406e-06,0.000396517845629488,0.000364632338712767,1702,"tags=23%, list=7%, signal=22%","144165/440145/324/9113/54908/29127/27030/5977/7283/11004/2491/81620/90417/83990/83540/990/1063/57405/10783/9133/83903/9928/79980/60/64682/151648/3835/5901/4751/1778/10460/9918/81610/3619/81930/1062/221150/56992/983/11130/6790/701/699/348235/29128/1894/10615/113130/5347/54892/9700/2177/10403/9493/7272/991/891/11065/9787/4605/64151/9212/9750/3833/22974/147841/57082/55143/332/259266/7153/146909"
"GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS","GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS",167,-0.769443602967751,-1.68654343420041,1.67768500404664e-06,0.000602136399634193,0.000553716323345153,1777,"tags=26%, list=8%, signal=24%","10274/144165/440145/25886/54908/1058/29127/79866/7283/57562/83540/57405/10783/29899/5901/5310/4751/1778/10460/55835/3619/1062/56992/983/6790/10769/29128/284403/5347/9700/10403/2770/9493/7272/991/891/9787/4605/9212/9750/3833/22974/55143/332"
"GOBP_SPINDLE_ORGANIZATION","GOBP_SPINDLE_ORGANIZATION",204,-0.749435748552698,-1.66902278322685,1.92306865087028e-06,0.000632689586136321,0.000581812612004525,1777,"tags=27%, list=8%, signal=25%","10274/153241/144165/440145/25886/93323/29127/79866/1739/7283/57562/79000/90417/203068/10426/83540/4627/57405/10783/9133/29899/5901/5310/4751/10910/1778/10460/55835/3619/1062/221150/56992/6790/10769/348235/29128/10615/284403/5347/9700/10403/2770/9493/7272/991/891/9787/4605/9212/9750/3833/22974/55143/332/259266"
"GOBP_MITOTIC_SPINDLE_ORGANIZATION","GOBP_MITOTIC_SPINDLE_ORGANIZATION",136,-0.792471710689702,-1.70806969713135,2.80807354116888e-06,0.000852790333887289,0.000784214222145059,1777,"tags=29%, list=8%, signal=27%","10274/144165/440145/25886/29127/79866/7283/57562/83540/57405/10783/29899/5901/5310/4751/1778/10460/55835/3619/1062/56992/6790/10769/29128/284403/5347/10403/2770/9493/7272/991/891/9787/4605/9212/9750/3833/22974/55143/332"
"GOBP_OSTEOBLAST_DIFFERENTIATION","GOBP_OSTEOBLAST_DIFFERENTIATION",228,-0.730169327491871,-1.63997031027416,3.76422092465751e-06,0.00106151030075342,0.000976150223243891,1598,"tags=21%, list=7%, signal=20%","6662/2194/51564/406911/92/25819/4088/860/3371/10979/169200/4015/7291/27316/5744/7473/4208/10140/1051/2247/25840/6422/63979/3570/10492/1660/23376/847/8321/5787/7424/3569/51232/1969/3572/3486/7422/2355/658/55603/3400/1021/5587/3491/1462/56975/4921/3488"
"GOBP_CHROMOSOME_SEPARATION","GOBP_CHROMOSOME_SEPARATION",81,-0.843163443266128,-1.73280250958627,4.46466436832827e-06,0.00110384155908119,0.00101507746421134,1648,"tags=37%, list=7%, signal=34%","324/54908/338657/5359/83540/1063/57405/83903/9918/56916/3619/221150/11130/701/699/5347/54892/9700/10403/7272/991/891/11065/9787/64151/9212/147841/57082/55143/332"
